TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,91.1842
400.1569,91.8811
401.1211,92.5781
402.0854,93.1134
403.0496,93.4271
404.0138,93.5396
404.9781,93.5243
405.9423,93.4745
406.9065,93.4577
407.8708,93.4843
408.8350,93.5114
409.7992,93.4828
410.7635,93.3715
411.7277,93.1927
412.6919,92.976
413.6562,92.7239
414.6204,92.3951
415.5846,91.9262
416.5489,91.2866
417.5131,90.5539
418.4773,89.9495
419.4416,89.7048
420.4058,89.8373
421.3700,90.1549
422.3343,90.4591
423.2985,90.6612
424.2627,90.7698
425.2270,90.8381
426.1912,90.916
427.1554,91.0226
428.1197,91.1467
429.0839,91.2645
430.0481,91.3553
431.0124,91.4077
431.9766,91.4196
432.9408,91.4024
433.9051,91.3876
434.8693,91.4242
435.8335,91.5591
436.7978,91.8051
437.7620,92.1222
438.7262,92.4304
439.6905,92.6485
440.6547,92.7355
441.6189,92.7144
442.5832,92.668
443.5474,92.6993
444.5116,92.8742
445.4759,93.1864
446.4401,93.5691
447.4043,93.938
448.3686,94.2312
449.3328,94.4256
450.2970,94.5322
451.2613,94.5771
452.2255,94.581
453.1897,94.5499
454.1540,94.4815
455.1182,94.3813
456.0824,94.2776
457.0467,94.22
458.0109,94.2557
458.9751,94.3949
459.9394,94.6021
460.9036,94.8245
461.8678,95.0264
462.8321,95.2011
463.7963,95.3582
464.7605,95.5023
465.7248,95.6141
466.6890,95.6496
467.6532,95.5604
468.6175,95.3249
469.5817,94.9755
470.5459,94.6066
471.5102,94.3508
472.4744,94.3176
473.4386,94.5245
474.4029,94.8811
475.3671,95.2432
476.3313,95.4905
477.2956,95.5706
478.2598,95.5013
479.2240,95.3437
480.1883,95.167
481.1525,95.0214
482.1167,94.9318
483.0810,94.904
484.0452,94.9327
485.0094,95.0014
485.9737,95.0799
486.9379,95.1297
487.9021,95.1182
488.8664,95.0349
489.8306,94.8984
490.7948,94.7514
491.7591,94.6427
492.7233,94.6033
493.6875,94.6308
494.6518,94.6911
495.6160,94.7346
496.5802,94.715
