TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,93.7381
400.1569,94.2323
401.1211,94.352
402.0854,94.295
403.0496,94.2666
404.0138,94.4096
404.9781,94.77
405.9423,95.2798
406.9065,95.7815
407.8708,96.1091
408.8350,96.184
409.7992,96.0549
410.7635,95.8547
411.7277,95.7028
412.6919,95.6243
413.6562,95.5425
414.6204,95.3423
415.5846,94.9494
416.5489,94.3946
417.5131,93.8523
418.4773,93.5895
419.4416,93.7601
420.4058,94.2403
421.3700,94.7618
422.3343,95.141
423.2985,95.3362
424.2627,95.3876
425.2270,95.3561
426.1912,95.2907
427.1554,95.221
428.1197,95.1646
429.0839,95.1335
430.0481,95.1316
431.0124,95.1477
431.9766,95.1589
432.9408,95.1493
433.9051,95.1322
434.8693,95.1508
435.8335,95.249
436.7978,95.4265
437.7620,95.6191
438.7262,95.7246
439.6905,95.6591
440.6547,95.409
441.6189,95.0526
442.5832,94.7358
443.5474,94.604
444.5116,94.7223
445.4759,95.0387
446.4401,95.4152
447.4043,95.6966
448.3686,95.7752
449.3328,95.6282
450.2970,95.3199
451.2613,94.97
452.2255,94.6979
453.1897,94.5751
454.1540,94.6078
455.1182,94.7504
456.0824,94.9307
457.0467,95.0752
458.0109,95.1341
458.9751,95.0999
459.9394,95.0071
460.9036,94.9107
461.8678,94.8633
462.8321,94.8998
463.7963,95.0258
464.7605,95.2088
465.7248,95.3827
466.6890,95.4757
467.6532,95.4491
468.6175,95.3195
469.5817,95.1523
470.5459,95.0353
471.5102,95.0414
472.4744,95.1933
473.4386,95.4499
474.4029,95.7308
475.3671,95.9621
476.3313,96.1069
477.2956,96.1679
478.2598,96.1731
479.2240,96.1555
480.1883,96.136
481.1525,96.1163
482.1167,96.0842
483.0810,96.0296
484.0452,95.9592
485.0094,95.8974
485.9737,95.8701
486.9379,95.8865
487.9021,95.9324
488.8664,95.9797
489.8306,96.0028
490.7948,95.9919
491.7591,95.9565
492.7233,95.9173
493.6875,95.8921
494.6518,95.8852
495.6160,95.8878
496.5802,95.8851
