TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,79.3262
400.1569,81.4763
401.1211,83.3668
402.0854,84.8538
403.0496,85.8947
404.0138,86.5119
404.9781,86.779
405.9423,86.8088
406.9065,86.7215
407.8708,86.6036
408.8350,86.4856
409.7992,86.3508
410.7635,86.1608
411.7277,85.8735
412.6919,85.4454
413.6562,84.8229
414.6204,83.9369
415.5846,82.7166
416.5489,81.1356
417.5131,79.2968
418.4773,77.4797
419.4416,75.993
420.4058,74.9084
421.3700,74.0453
422.3343,73.2183
423.2985,72.4117
424.2627,71.7774
425.2270,71.5264
426.1912,71.7881
427.1554,72.519
428.1197,73.5207
429.0839,74.5392
430.0481,75.3586
431.0124,75.8424
431.9766,75.926
432.9408,75.5862
433.9051,74.8156
434.8693,73.6207
435.8335,72.0408
436.7978,70.1677
437.7620,68.1436
438.7262,66.1418
439.6905,64.3478
440.6547,62.9417
441.6189,62.0619
442.5832,61.7363
443.5474,61.8203
444.5116,62.0192
445.4759,62.0152
446.4401,61.6231
447.4043,60.8705
448.3686,59.9755
449.3328,59.2527
450.2970,58.988
451.2613,59.3276
452.2255,60.2298
453.1897,61.5086
454.1540,62.9341
455.1182,64.3162
456.0824,65.5282
457.0467,66.4799
458.0109,67.0845
458.9751,67.2638
459.9394,66.9926
460.9036,66.3411
461.8678,65.4821
462.8321,64.6706
463.7963,64.199
464.7605,64.3157
465.7248,65.1259
466.6890,66.539
467.6532,68.3216
468.6175,70.2209
469.5817,72.0737
470.5459,73.8375
471.5102,75.5493
472.4744,77.2471
473.4386,78.9122
474.4029,80.4746
475.3671,81.8643
476.3313,83.0535
477.2956,84.0576
478.2598,84.908
479.2240,85.6255
480.1883,86.2138
481.1525,86.675
482.1167,87.031
483.0810,87.3303
484.0452,87.6303
485.0094,87.9632
485.9737,88.3135
486.9379,88.6257
487.9021,88.8383
488.8664,88.918
489.8306,88.8772
490.7948,88.7693
491.7591,88.6655
492.7233,88.6212
493.6875,88.6496
494.6518,88.7159
495.6160,88.7535
496.5802,88.6942
