TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,86.3815
400.1569,86.958
401.1211,87.2751
402.0854,87.4203
403.0496,87.5392
404.0138,87.7623
404.9781,88.1533
405.9423,88.6703
406.9065,89.1697
407.8708,89.4779
408.8350,89.4982
409.7992,89.2751
410.7635,88.9658
411.7277,88.7322
412.6919,88.6282
413.6562,88.5657
414.6204,88.3771
415.5846,87.9169
416.5489,87.1578
417.5131,86.2761
418.4773,85.6412
419.4416,85.5697
420.4058,86.0242
421.3700,86.6862
422.3343,87.2664
423.2985,87.6449
424.2627,87.8316
425.2270,87.8915
426.1912,87.891
427.1554,87.8719
428.1197,87.8494
429.0839,87.8218
430.0481,87.7798
431.0124,87.712
431.9766,87.6136
432.9408,87.501
433.9051,87.4184
434.8693,87.4215
435.8335,87.5372
436.7978,87.7253
437.7620,87.8804
438.7262,87.8825
439.6905,87.666
440.6547,87.2649
441.6189,86.813
442.5832,86.4912
443.5474,86.4402
444.5116,86.6845
445.4759,87.1232
446.4401,87.5874
447.4043,87.9176
448.3686,88.0172
449.3328,87.874
450.2970,87.556
451.2613,87.1821
452.2255,86.8748
453.1897,86.7135
454.1540,86.7129
455.1182,86.8288
456.0824,86.9819
457.0467,87.0905
458.0109,87.1091
458.9751,87.0512
459.9394,86.9744
460.9036,86.938
461.8678,86.9733
462.8321,87.0787
463.7963,87.2265
464.7605,87.3714
465.7248,87.4631
466.6890,87.4628
467.6532,87.3578
468.6175,87.1659
469.5817,86.9336
470.5459,86.7301
471.5102,86.6331
472.4744,86.6975
473.4386,86.9208
474.4029,87.2374
475.3671,87.5559
476.3313,87.8061
477.2956,87.9644
478.2598,88.0496
479.2240,88.0973
480.1883,88.1314
481.1525,88.1491
482.1167,88.1302
483.0810,88.0641
484.0452,87.9714
485.0094,87.8986
485.9737,87.8875
486.9379,87.9447
487.9021,88.038
488.8664,88.1196
489.8306,88.1548
490.7948,88.1397
491.7591,88.0981
492.7233,88.0611
493.6875,88.0429
494.6518,88.0331
495.6160,88.0071
496.5802,87.9449
