TITLE SAMPLE NAME:,Polyethylene Terephthalate (bottles, containers)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
968.0905,95.3909
970.0189,95.4273
971.9474,95.5074
973.8759,95.6221
975.8043,95.753
977.7328,95.8781
979.6613,95.9778
981.5897,96.0399
983.5182,96.0608
985.4467,96.0429
987.3751,95.9912
989.3036,95.9101
991.2321,95.8038
993.1605,95.6764
995.0890,95.5343
997.0175,95.3844
998.9459,95.2317
1000.8744,95.0743
1002.8029,94.8997
1004.7313,94.6867
1006.6598,94.4138
1008.5883,94.074
1010.5167,93.6891
1012.4452,93.3142
1014.3737,93.0272
1016.3021,92.9036
1018.2306,92.9861
1020.1591,93.2645
1022.0875,93.6755
1024.0160,94.123
1025.9445,94.5104
1027.8729,94.7699
1029.8014,94.877
1031.7299,94.8482
1033.6583,94.7251
1035.5868,94.556
1037.5153,94.3808
1039.4437,94.2249
1041.3722,94.1001
1043.3007,94.008
1045.2291,93.9449
1047.1576,93.9038
1049.0861,93.8759
1051.0145,93.8516
1052.9430,93.8212
1054.8715,93.776
1056.7999,93.7095
1058.7284,93.6175
1060.6569,93.4983
1062.5853,93.3527
1064.5138,93.1833
1066.4423,92.9934
1068.3707,92.7861
1070.2992,92.5647
1072.2277,92.3322
1074.1561,92.0929
1076.0846,91.8528
1078.0131,91.6194
1079.9415,91.4004
1081.8700,91.2024
1083.7985,91.0295
1085.7269,90.884
1087.6554,90.7669
1089.5839,90.6798
1091.5123,90.6252
1093.4408,90.6064
1095.3693,90.6272
1097.2977,90.6906
1099.2262,90.7968
1101.1547,90.9417
1103.0831,91.1141
1105.0116,91.2967
1106.9401,91.4689
1108.8685,91.6129
1110.7970,91.7208
1112.7255,91.7981
1114.6539,91.8629
1116.5824,91.9405
1118.5109,92.0553
1120.4393,92.2245
1122.3678,92.4551
1124.2963,92.7446
1126.2247,93.0832
1128.1532,93.4572
1130.0817,93.851
1132.0101,94.2486
1133.9386,94.6355
