TITLE SAMPLE NAME:,Polyethylene Terephthalate (bottles, containers)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,83.3846
401.1211,84.206
403.0496,84.8338
404.9781,85.2903
406.9065,85.6145
408.8350,85.8245
410.7635,85.9128
412.6919,85.8575
414.6204,85.6388
416.5489,85.2566
418.4773,84.7453
420.4058,84.1714
422.3343,83.6036
424.2627,83.0851
426.1912,82.6346
428.1197,82.2654
430.0481,81.9989
431.9766,81.8665
433.9051,81.8998
435.8335,82.1192
437.7620,82.5269
439.6905,83.104
441.6189,83.8069
443.5474,84.5632
445.4759,85.2823
447.4043,85.8839
449.3328,86.3284
451.2613,86.6241
453.1897,86.8132
455.1182,86.9471
457.0467,87.0641
458.9751,87.175
460.9036,87.2653
462.8321,87.3116
464.7605,87.2982
466.6890,87.2243
468.6175,87.1032
470.5459,86.9569
472.4744,86.808
474.4029,86.6688
476.3313,86.5373
478.2598,86.4008
480.1883,86.2439
482.1167,86.0526
484.0452,85.8135
485.9737,85.5118
487.9021,85.1301
489.8306,84.6529
491.7591,84.0765
493.6875,83.4206
495.6160,82.738
497.5445,82.1188
499.4729,81.6799
501.4014,81.5369
503.3299,81.7593
505.2583,82.3322
507.1868,83.1535
509.1153,84.0715
511.0437,84.9381
512.9722,85.6492
514.9007,86.1604
516.8292,86.4855
518.7576,86.6798
520.6861,86.8149
522.6146,86.9528
524.5430,87.1307
526.4715,87.3618
528.4000,87.6432
530.3284,87.965
532.2569,88.3141
534.1854,88.674
536.1138,89.0247
538.0423,89.3446
539.9708,89.6163
541.8992,89.8327
543.8277,90.0005
545.7562,90.1381
547.6846,90.2683
549.6131,90.4084
551.5416,90.563
553.4700,90.7226
555.3985,90.8691
557.3270,90.9843
559.2554,91.058
561.1839,91.0909
563.1124,91.0914
565.0408,91.0708
566.9693,91.0399
568.8978,91.0078
570.8262,90.9829
572.7547,90.9731
574.6832,90.9834
576.6116,91.0132
578.5401,91.0548
580.4686,91.0957
582.3970,91.1238
584.3255,91.132
586.2540,91.1199
588.1824,91.0921
590.1109,91.055
592.0394,91.0137
593.9678,90.9701
595.8963,90.9229
597.8248,90.8691
599.7532,90.8062
601.6817,90.7343
603.6102,90.6567
605.5386,90.5773
607.4671,90.4983
609.3956,90.419
611.3240,90.338
613.2525,90.2553
615.1810,90.1698
617.1094,90.0719
619.0379,89.937
620.9664,89.7305
622.8948,89.4266
624.8233,89.0324
626.7518,88.601
628.6802,88.2216
630.6087,87.986
632.5372,87.9462
634.4656,88.0859
636.3941,88.3263
638.3226,88.5639
640.2510,88.715
642.1795,88.7434
644.1080,88.6587
646.0364,88.495
647.9649,88.2847
649.8934,88.0459
651.8218,87.7877
653.7503,87.5217
655.6788,87.2666
657.6072,87.0388
659.5357,86.8394
661.4642,86.6484
663.3926,86.4247
665.3211,86.1119
667.2496,85.6591
669.1780,85.0612
671.1065,84.3783
673.0350,83.6934
674.9634,83.058
676.8919,82.4869
678.8204,81.9799
680.7488,81.5336
682.6773,81.1337
684.6058,80.7402
686.5342,80.284
688.4627,79.682
690.3912,78.8603
692.3196,77.7751
694.2481,76.426
696.1766,74.8548
698.1050,73.1282
700.0335,71.3133
701.9620,69.459
703.8904,67.5887
705.8189,65.6987
707.7474,63.7569
709.6758,61.7024
711.6043,59.4594
713.5328,56.9755
715.4612,54.2871
717.3897,51.5863
719.3182,49.2424
721.2466,47.7295
723.1751,47.4768
725.1036,48.7232
727.0320,51.4591
728.9605,55.4664
730.8890,60.4046
732.8174,65.8891
734.7459,71.5395
736.6744,77.0022
738.6028,81.964
740.5313,86.1709
742.4598,89.4573
744.3882,91.7753
746.3167,93.2045
748.2452,93.9262
750.1736,94.1662
752.1021,94.1295
754.0306,93.9587
755.9590,93.727
757.8875,93.4579
759.8160,93.1524
761.7444,92.8091
763.6729,92.4311
765.6014,92.0268
767.5298,91.6067
769.4583,91.1815
771.3868,90.7608
773.3152,90.3509
775.2437,89.9505
777.1722,89.5458
779.1006,89.1062
781.0291,88.5905
782.9576,87.9665
784.8860,87.2415
786.8145,86.4862
788.7430,85.8301
790.6714,85.4216
792.5999,85.3633
794.5284,85.6576
796.4568,86.1956
798.3853,86.7993
800.3138,87.2961
802.2422,87.5842
804.1707,87.656
