TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,101.682
400.1569,102.975
401.1211,103.957
402.0854,104.621
403.0496,105.043
404.0138,105.268
404.9781,105.283
405.9423,105.077
406.9065,104.718
407.8708,104.388
408.8350,104.31
409.7992,104.616
410.7635,105.219
411.7277,105.78
412.6919,105.867
413.6562,105.222
414.6204,103.932
415.5846,102.388
416.5489,101.153
417.5131,100.795
418.4773,101.559
419.4416,103.014
420.4058,104.25
421.3700,104.653
422.3343,104.271
423.2985,103.52
424.2627,102.822
425.2270,102.432
426.1912,102.4
427.1554,102.623
428.1197,102.939
429.0839,103.217
430.0481,103.392
431.0124,103.46
431.9766,103.46
432.9408,103.458
433.9051,103.522
434.8693,103.673
435.8335,103.851
436.7978,103.922
437.7620,103.758
438.7262,103.332
439.6905,102.763
440.6547,102.268
441.6189,102.06
442.5832,102.229
443.5474,102.679
444.5116,103.166
445.4759,103.442
446.4401,103.403
447.4043,103.129
448.3686,102.815
449.3328,102.66
450.2970,102.775
451.2613,103.128
452.2255,103.55
453.1897,103.811
454.1540,103.725
455.1182,103.245
456.0824,102.507
457.0467,101.793
458.0109,101.408
458.9751,101.503
459.9394,102.002
460.9036,102.681
461.8678,103.314
462.8321,103.761
463.7963,103.969
464.7605,103.95
465.7248,103.745
466.6890,103.401
467.6532,102.966
468.6175,102.5
469.5817,102.08
470.5459,101.804
471.5102,101.756
472.4744,101.954
473.4386,102.32
474.4029,102.715
475.3671,103.022
476.3313,103.201
477.2956,103.293
478.2598,103.359
479.2240,103.431
480.1883,103.482
481.1525,103.453
482.1167,103.31
483.0810,103.094
484.0452,102.907
485.0094,102.846
485.9737,102.934
486.9379,103.099
487.9021,103.223
488.8664,103.217
489.8306,103.065
490.7948,102.831
491.7591,102.617
492.7233,102.508
493.6875,102.532
494.6518,102.66
495.6160,102.826
496.5802,102.954
497.5445,102.986
498.5087,102.898
499.4729,102.709
500.4372,102.481
501.4014,102.304
502.3656,102.25
503.3299,102.338
504.2941,102.515
505.2583,102.69
506.2226,102.776
