TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,103.931
400.1569,103.692
401.1211,103.093
402.0854,102.335
403.0496,101.596
404.0138,101.022
404.9781,100.717
405.9423,100.717
406.9065,100.98
407.8708,101.401
408.8350,101.847
409.7992,102.195
410.7635,102.358
411.7277,102.303
412.6919,102.066
413.6562,101.742
414.6204,101.453
415.5846,101.317
416.5489,101.423
417.5131,101.78
418.4773,102.249
419.4416,102.568
420.4058,102.561
421.3700,102.266
422.3343,101.838
423.2985,101.416
424.2627,101.081
425.2270,100.866
426.1912,100.766
427.1554,100.758
428.1197,100.813
429.0839,100.908
430.0481,101.024
431.0124,101.134
431.9766,101.209
432.9408,101.22
433.9051,101.163
434.8693,101.059
435.8335,100.953
436.7978,100.894
437.7620,100.906
438.7262,100.981
439.6905,101.087
440.6547,101.183
441.6189,101.242
442.5832,101.258
443.5474,101.242
444.5116,101.208
445.4759,101.162
446.4401,101.099
447.4043,101.021
448.3686,100.942
449.3328,100.889
450.2970,100.885
451.2613,100.938
452.2255,101.032
453.1897,101.136
454.1540,101.22
455.1182,101.267
456.0824,101.269
457.0467,101.231
458.0109,101.16
458.9751,101.073
459.9394,100.99
460.9036,100.933
461.8678,100.912
462.8321,100.923
463.7963,100.945
464.7605,100.948
465.7248,100.913
466.6890,100.842
467.6532,100.764
468.6175,100.713
469.5817,100.713
470.5459,100.76
471.5102,100.831
472.4744,100.892
473.4386,100.926
474.4029,100.936
475.3671,100.933
476.3313,100.917
477.2956,100.877
478.2598,100.8
479.2240,100.69
480.1883,100.57
481.1525,100.474
482.1167,100.432
483.0810,100.451
484.0452,100.515
485.0094,100.596
485.9737,100.675
486.9379,100.747
487.9021,100.815
488.8664,100.881
489.8306,100.932
490.7948,100.95
491.7591,100.918
492.7233,100.841
493.6875,100.739
494.6518,100.642
495.6160,100.577
496.5802,100.555
497.5445,100.573
498.5087,100.614
499.4729,100.661
500.4372,100.695
501.4014,100.701
502.3656,100.678
503.3299,100.638
504.2941,100.597
505.2583,100.572
506.2226,100.569
