TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,100.713
400.1569,100.455
401.1211,100.119
402.0854,99.8092
403.0496,99.5775
404.0138,99.4474
404.9781,99.4284
405.9423,99.522
406.9065,99.7217
407.8708,100.011
408.8350,100.357
409.7992,100.698
410.7635,100.944
411.7277,101.008
412.6919,100.86
413.6562,100.556
414.6204,100.219
415.5846,99.9962
416.5489,100.014
417.5131,100.315
418.4773,100.771
419.4416,101.106
420.4058,101.114
421.3700,100.823
422.3343,100.395
423.2985,99.9862
424.2627,99.6937
425.2270,99.5571
426.1912,99.5671
427.1554,99.6789
428.1197,99.8314
429.0839,99.9669
430.0481,100.044
431.0124,100.044
431.9766,99.9806
432.9408,99.887
433.9051,99.8047
434.8693,99.7618
435.8335,99.7626
436.7978,99.7919
437.7620,99.8306
438.7262,99.8698
439.6905,99.9122
440.6547,99.9652
441.6189,100.031
442.5832,100.102
443.5474,100.162
444.5116,100.196
445.4759,100.193
446.4401,100.155
447.4043,100.091
448.3686,100.016
449.3328,99.9501
450.2970,99.9109
451.2613,99.9079
452.2255,99.9377
453.1897,99.987
454.1540,100.039
455.1182,100.08
456.0824,100.102
457.0467,100.101
458.0109,100.079
458.9751,100.05
459.9394,100.033
460.9036,100.044
461.8678,100.087
462.8321,100.15
463.7963,100.207
464.7605,100.23
465.7248,100.207
466.6890,100.153
467.6532,100.099
468.6175,100.076
469.5817,100.091
470.5459,100.125
471.5102,100.144
472.4744,100.124
473.4386,100.068
474.4029,100.004
475.3671,99.9558
476.3313,99.9291
477.2956,99.9118
478.2598,99.8861
479.2240,99.8423
480.1883,99.7859
481.1525,99.7335
482.1167,99.7036
483.0810,99.7074
484.0452,99.7438
485.0094,99.8012
485.9737,99.8631
486.9379,99.9149
487.9021,99.9487
488.8664,99.9635
489.8306,99.9635
490.7948,99.9546
491.7591,99.9407
492.7233,99.9216
493.6875,99.8944
494.6518,99.8585
495.6160,99.8186
496.5802,99.7841
497.5445,99.7643
498.5087,99.7638
499.4729,99.7803
500.4372,99.8072
