TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,82.2358
400.1569,82.8051
401.1211,83.5786
402.0854,84.4498
403.0496,85.342
404.0138,86.174
404.9781,86.8449
405.9423,87.2587
406.9065,87.3754
407.8708,87.246
408.8350,86.9981
409.7992,86.7839
410.7635,86.72
411.7277,86.8432
412.6919,87.1029
413.6562,87.3977
414.6204,87.6284
415.5846,87.7283
416.5489,87.6724
417.5131,87.4884
418.4773,87.2673
419.4416,87.1218
420.4058,87.0977
421.3700,87.1572
422.3343,87.2474
423.2985,87.3444
424.2627,87.4471
425.2270,87.5563
426.1912,87.6624
427.1554,87.7509
428.1197,87.8187
429.0839,87.8839
430.0481,87.9777
431.0124,88.1231
431.9766,88.3162
432.9408,88.5255
433.9051,88.7117
434.8693,88.854
435.8335,88.9613
436.7978,89.0606
437.7620,89.1709
438.7262,89.2899
439.6905,89.3996
440.6547,89.4838
441.6189,89.5395
442.5832,89.5745
443.5474,89.596
444.5116,89.6021
445.4759,89.5885
446.4401,89.5615
447.4043,89.5422
448.3686,89.5542
449.3328,89.6052
450.2970,89.677
451.2613,89.7343
452.2255,89.7476
453.1897,89.714
454.1540,89.6591
455.1182,89.6192
456.0824,89.6185
457.0467,89.6529
458.0109,89.6911
458.9751,89.6965
459.9394,89.652
460.9036,89.5653
461.8678,89.456
462.8321,89.3427
463.7963,89.2412
464.7605,89.1672
465.7248,89.1358
466.6890,89.1567
467.6532,89.2279
468.6175,89.3362
469.5817,89.4637
470.5459,89.594
471.5102,89.7159
472.4744,89.8201
473.4386,89.8938
474.4029,89.9207
475.3671,89.8862
476.3313,89.7872
477.2956,89.6377
478.2598,89.4681
479.2240,89.3159
480.1883,89.2126
481.1525,89.1717
482.1167,89.1868
483.0810,89.236
484.0452,89.2922
485.0094,89.3318
485.9737,89.3413
486.9379,89.3202
487.9021,89.2808
488.8664,89.2455
489.8306,89.2417
490.7948,89.2928
491.7591,89.4051
492.7233,89.5597
493.6875,89.7162
494.6518,89.8306
495.6160,89.8757
496.5802,89.8528
