TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,81.1148
400.1569,81.2987
401.1211,81.4325
402.0854,81.6116
403.0496,81.8777
404.0138,82.222
404.9781,82.5996
405.9423,82.9486
406.9065,83.2136
407.8708,83.3665
408.8350,83.4124
409.7992,83.3822
410.7635,83.3187
411.7277,83.2626
412.6919,83.2395
413.6562,83.255
414.6204,83.3008
415.5846,83.3643
416.5489,83.4325
417.5131,83.4882
418.4773,83.5071
419.4416,83.4703
420.4058,83.3844
421.3700,83.2792
422.3343,83.1861
423.2985,83.1265
424.2627,83.108
425.2270,83.1238
426.1912,83.1563
427.1554,83.1896
428.1197,83.2219
429.0839,83.2689
430.0481,83.3531
431.0124,83.4869
431.9766,83.6602
432.9408,83.8429
433.9051,84.0005
434.8693,84.1152
435.8335,84.1966
436.7978,84.274
437.7620,84.3745
438.7262,84.5055
439.6905,84.651
440.6547,84.783
441.6189,84.8774
442.5832,84.9268
443.5474,84.943
444.5116,84.9476
445.4759,84.9567
446.4401,84.9713
447.4043,84.981
448.3686,84.9717
449.3328,84.9343
450.2970,84.8692
451.2613,84.7884
452.2255,84.7146
453.1897,84.6743
454.1540,84.6886
455.1182,84.7607
456.0824,84.8668
457.0467,84.954
458.0109,84.9582
458.9751,84.8396
459.9394,84.6081
460.9036,84.3111
461.8678,84.0039
462.8321,83.7326
463.7963,83.533
464.7605,83.4314
465.7248,83.4393
466.6890,83.5449
467.6532,83.714
468.6175,83.9015
469.5817,84.0684
470.5459,84.1921
471.5102,84.2685
472.4744,84.3039
473.4386,84.3039
474.4029,84.2674
475.3671,84.1924
476.3313,84.085
477.2956,83.9645
478.2598,83.8581
479.2240,83.7905
480.1883,83.773
481.1525,83.8006
482.1167,83.8569
483.0810,83.9223
484.0452,83.9799
485.0094,84.0179
485.9737,84.0292
486.9379,84.0136
487.9021,83.9801
488.8664,83.9482
489.8306,83.9448
490.7948,83.9942
491.7591,84.1053
492.7233,84.2613
493.6875,84.4242
494.6518,84.5515
495.6160,84.6173
496.5802,84.6221
