TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,92.7227
401.1211,92.8665
403.0496,92.9832
404.9781,93.0709
406.9065,93.1393
408.8350,93.1858
410.7635,93.1871
412.6919,93.1072
414.6204,92.9189
416.5489,92.6317
418.4773,92.3063
420.4058,92.0289
422.3343,91.8575
424.2627,91.794
426.1912,91.806
428.1197,91.8605
430.0481,91.9419
431.9766,92.0521
433.9051,92.2016
435.8335,92.3988
437.7620,92.6447
439.6905,92.9317
441.6189,93.2438
443.5474,93.5569
445.4759,93.8412
447.4043,94.0703
449.3328,94.2329
451.2613,94.3386
453.1897,94.4147
455.1182,94.4946
457.0467,94.6004
458.9751,94.7288
460.9036,94.8517
462.8321,94.9355
464.7605,94.963
466.6890,94.942
468.6175,94.8989
470.5459,94.8633
472.4744,94.8503
474.4029,94.8523
476.3313,94.8483
478.2598,94.8217
480.1883,94.7725
482.1167,94.7138
484.0452,94.6601
485.9737,94.6154
487.9021,94.5702
489.8306,94.51
491.7591,94.4256
493.6875,94.319
495.6160,94.1993
497.5445,94.0754
499.4729,93.9508
501.4014,93.8246
503.3299,93.6963
505.2583,93.5686
507.1868,93.4462
509.1153,93.3317
511.0437,93.2239
512.9722,93.1191
514.9007,93.015
516.8292,92.9124
518.7576,92.8138
520.6861,92.7196
522.6146,92.6269
524.5430,92.531
526.4715,92.4302
528.4000,92.3283
530.3284,92.2329
532.2569,92.1508
534.1854,92.0822
536.1138,92.0198
538.0423,91.9518
539.9708,91.8685
541.8992,91.7686
543.8277,91.661
545.7562,91.5618
547.6846,91.4863
549.6131,91.4415
551.5416,91.4213
553.4700,91.4086
555.3985,91.3829
557.3270,91.3284
559.2554,91.2409
561.1839,91.1276
563.1124,91.002
565.0408,90.8757
566.9693,90.7512
568.8978,90.6205
570.8262,90.4687
572.7547,90.2825
574.6832,90.0593
576.6116,89.8122
578.5401,89.5688
580.4686,89.3623
582.3970,89.2204
584.3255,89.1555
586.2540,89.1633
588.1824,89.2272
590.1109,89.3272
592.0394,89.4484
593.9678,89.5842
