TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,95.2819
401.1211,95.0842
403.0496,94.9746
404.9781,94.9392
406.9065,94.9282
408.8350,94.8928
410.7635,94.8048
412.6919,94.6608
414.6204,94.4801
416.5489,94.2973
418.4773,94.1492
420.4058,94.0528
422.3343,93.9923
424.2627,93.9319
426.1912,93.8408
428.1197,93.7105
430.0481,93.5599
431.9766,93.429
433.9051,93.364
435.8335,93.395
437.7620,93.52
439.6905,93.7066
441.6189,93.909
443.5474,94.0893
445.4759,94.2304
447.4043,94.3348
449.3328,94.4145
451.2613,94.479
453.1897,94.5289
455.1182,94.5566
457.0467,94.5522
458.9751,94.5126
460.9036,94.4471
462.8321,94.3745
464.7605,94.3134
466.6890,94.2743
468.6175,94.2557
470.5459,94.2456
472.4744,94.2286
474.4029,94.1964
476.3313,94.1535
478.2598,94.1149
480.1883,94.0973
482.1167,94.1102
484.0452,94.1506
485.9737,94.2026
487.9021,94.2435
489.8306,94.2537
491.7591,94.2255
493.6875,94.1666
495.6160,94.0962
497.5445,94.0365
499.4729,94.0027
501.4014,93.9952
503.3299,93.9988
505.2583,93.9896
507.1868,93.9485
509.1153,93.8722
511.0437,93.7749
512.9722,93.6808
514.9007,93.6112
516.8292,93.5727
518.7576,93.5524
520.6861,93.525
522.6146,93.4677
524.5430,93.3742
526.4715,93.2577
528.4000,93.1428
530.3284,93.052
532.2569,92.9961
534.1854,92.9724
536.1138,92.9697
538.0423,92.9759
539.9708,92.9831
541.8992,92.9881
543.8277,92.9909
545.7562,92.9918
547.6846,92.9909
549.6131,92.9881
551.5416,92.9822
553.4700,92.9715
555.3985,92.953
557.3270,92.9248
559.2554,92.8875
561.1839,92.8457
563.1124,92.8068
565.0408,92.7776
566.9693,92.7613
568.8978,92.7563
570.8262,92.7583
572.7547,92.7629
574.6832,92.7687
576.6116,92.7768
578.5401,92.7891
580.4686,92.8058
582.3970,92.825
584.3255,92.8435
586.2540,92.859
588.1824,92.871
590.1109,92.8812
592.0394,92.8917
593.9678,92.9039
