TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,90.0267
401.1211,90.2986
403.0496,90.5712
404.9781,90.7975
406.9065,90.9462
408.8350,90.9974
410.7635,90.9406
412.6919,90.7766
414.6204,90.5231
416.5489,90.2235
418.4773,89.9427
420.4058,89.7411
422.3343,89.6411
424.2627,89.6225
426.1912,89.6481
428.1197,89.6894
430.0481,89.7383
431.9766,89.8067
433.9051,89.9192
435.8335,90.1006
437.7620,90.3637
439.6905,90.701
441.6189,91.0829
443.5474,91.4628
445.4759,91.7897
447.4043,92.0261
449.3328,92.161
451.2613,92.2132
453.1897,92.2246
455.1182,92.247
457.0467,92.3219
458.9751,92.458
460.9036,92.6248
462.8321,92.7717
464.7605,92.8597
466.6890,92.8816
468.6175,92.8635
470.5459,92.8497
472.4744,92.8752
474.4029,92.9429
476.3313,93.0228
478.2598,93.0751
480.1883,93.0757
482.1167,93.0277
484.0452,92.9551
485.9737,92.8851
487.9021,92.8301
489.8306,92.7822
491.7591,92.7205
493.6875,92.6268
495.6160,92.4971
497.5445,92.3427
499.4729,92.184
501.4014,92.0392
503.3299,91.9155
505.2583,91.8069
507.1868,91.6996
509.1153,91.5811
511.0437,91.4473
512.9722,91.3044
514.9007,91.1641
516.8292,91.0378
518.7576,90.9307
520.6861,90.8407
522.6146,90.7616
524.5430,90.6884
526.4715,90.6192
528.4000,90.554
530.3284,90.4922
532.2569,90.4314
534.1854,90.3681
536.1138,90.2997
538.0423,90.2253
539.9708,90.1456
541.8992,90.0628
543.8277,89.9813
545.7562,89.9091
547.6846,89.8562
549.6131,89.8309
551.5416,89.8338
553.4700,89.8544
555.3985,89.8734
557.3270,89.8704
559.2554,89.834
561.1839,89.7662
563.1124,89.6797
565.0408,89.5882
566.9693,89.497
568.8978,89.3986
570.8262,89.277
572.7547,89.1184
574.6832,88.9213
576.6116,88.7014
578.5401,88.4874
580.4686,88.3118
582.3970,88.1987
584.3255,88.1579
586.2540,88.1841
588.1824,88.2623
590.1109,88.3741
592.0394,88.5025
593.9678,88.6358
