TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
968.0905,93.2725
970.0189,92.9415
971.9474,92.7117
973.8759,92.5804
975.8043,92.5062
977.7328,92.4239
979.6613,92.2649
981.5897,91.9755
983.5182,91.528
985.4467,90.9244
987.3751,90.195
989.3036,89.3927
991.2321,88.5822
993.1605,87.8229
995.0890,87.1484
997.0175,86.5476
998.9459,85.9549
1000.8744,85.2574
1002.8029,84.3227
1004.7313,83.0439
1006.6598,81.3895
1008.5883,79.439
1010.5167,77.3857
1012.4452,75.4975
1014.3737,74.0473
1016.3021,73.234
1018.2306,73.1262
1020.1591,73.6484
1022.0875,74.6138
1024.0160,75.7865
1025.9445,76.9478
1027.8729,77.9438
1029.8014,78.7037
1031.7299,79.2334
1033.6583,79.5921
1035.5868,79.8661
1037.5153,80.1446
1039.4437,80.5045
1041.3722,81.0016
1043.3007,81.6665
1045.2291,82.5029
1047.1576,83.4848
1049.0861,84.5555
1051.0145,85.6319
1052.9430,86.6183
1054.8715,87.4305
1056.7999,88.0212
1058.7284,88.3951
1060.6569,88.6034
1062.5853,88.72
1064.5138,88.813
1066.4423,88.9279
1068.3707,89.0877
1070.2992,89.301
1072.2277,89.5636
1074.1561,89.848
1076.0846,90.0949
1078.0131,90.2256
1079.9415,90.1825
1081.8700,89.9778
1083.7985,89.7145
1085.7269,89.5534
1087.6554,89.6388
1089.5839,90.0245
1091.5123,90.6478
1093.4408,91.3648
1095.3693,92.0264
1097.2977,92.5454
1099.2262,92.9189
1101.1547,93.2011
1103.0831,93.4542
1105.0116,93.7116
1106.9401,93.9725
1108.8685,94.2203
1110.7970,94.4438
1112.7255,94.6477
1114.6539,94.8472
1116.5824,95.0579
1118.5109,95.2881
1120.4393,95.538
1122.3678,95.8024
1124.2963,96.0759
1126.2247,96.355
1128.1532,96.64
1130.0817,96.9322
1132.0101,97.2289
1133.9386,97.5181
1135.8671,97.777
1137.7955,97.98
1139.7240,98.1108
1141.6525,98.1741
1143.5809,98.1966
1145.5094,98.2156
1147.4379,98.2626
1149.3663,98.3502
1151.2948,98.4714
1153.2233,98.6092
1155.1517,98.7479
1157.0802,98.8797
1159.0087,99.0047
1160.9371,99.1254
1162.8656,99.2416
1164.7941,99.3453
1166.7225,99.4169
1168.6510,99.4256
1170.5795,99.3372
1172.5079,99.1304
1174.4364,98.8164
1176.3649,98.4472
1178.2933,98.102
1180.2218,97.8509
1182.1503,97.7147
1184.0787,97.6468
1186.0072,97.5529
1187.9357,97.3378
1189.8641,96.9511
1191.7926,96.406
1193.7211,95.7612
1195.6495,95.0807
1197.5780,94.3977
1199.5065,93.7035
1201.4349,92.9651
1203.3634,92.1572
1205.2919,91.2871
1207.2203,90.3977
1209.1488,89.5487
1211.0773,88.7903
1213.0057,88.1442
1214.9342,87.6018
1216.8627,87.1386
1218.7911,86.7336
1220.7196,86.3816
1222.6481,86.0933
1224.5765,85.8841
1226.5050,85.7636
1228.4335,85.7314
1230.3619,85.7827
1232.2904,85.9163
1234.2189,86.1359
1236.1473,86.4412
1238.0758,86.8168
1240.0043,87.2278
1241.9327,87.6298
1243.8612,87.9888
1245.7897,88.298
1247.7181,88.5815
1249.6466,88.8805
1251.5751,89.234
1253.5035,89.6653
1255.4320,90.182
1257.3605,90.7827
1259.2889,91.4641
1261.2174,92.2184
1263.1459,93.0256
1265.0743,93.8485
1267.0028,94.6389
1268.9313,95.3526
1270.8597,95.9652
1272.7882,96.4784
1274.7167,96.9139
1276.6451,97.2986
1278.5736,97.651
1280.5021,97.9758
1282.4305,98.269
1284.3590,98.5262
1286.2875,98.7504
1288.2159,98.9519
1290.1444,99.1441
1292.0729,99.3364
1294.0013,99.5313
1295.9298,99.7245
1297.8583,99.9086
1299.7867,100.076
1301.7152,100.222
1303.6437,100.342
1305.5721,100.434
1307.5006,100.501
1309.4291,100.549
1311.3575,100.592
1313.2860,100.642
1315.2145,100.711
1317.1429,100.8
1319.0714,100.903
1320.9999,101.009
1322.9283,101.106
1324.8568,101.179
1326.7853,101.214
1328.7137,101.191
1330.6422,101.098
1332.5707,100.934
1334.4991,100.721
1336.4276,100.501
1338.3561,100.32
1340.2845,100.203
1342.2130,100.14
1344.1415,100.096
1346.0699,100.036
1347.9984,99.9412
1349.9269,99.8167
1351.8553,99.6746
1353.7838,99.5212
1355.7123,99.3526
1357.6407,99.1631
1359.5692,98.9567
1361.4977,98.7499
1363.4261,98.5607
1365.3546,98.3945
1367.2831,98.2424
1369.2115,98.0959
1371.1400,97.963
1373.0685,97.869
1374.9969,97.8388
1376.9254,97.8719
1378.8539,97.9345
1380.7823,97.9758
1382.7108,97.9549
1384.6393,97.8603
1386.5677,97.7112
1388.4962,97.5454
1390.4247,97.4017
1392.3531,97.3077
1394.2816,97.2765
1396.2101,97.3089
1398.1385,97.3948
1400.0670,97.5127
1401.9955,97.6309
1403.9240,97.7123
1405.8524,97.7242
1407.7809,97.6469
1409.7094,97.481
1411.6378,97.2484
1413.5663,96.9908
1415.4948,96.7651
1417.4232,96.6296
1419.3517,96.6197
1421.2802,96.7205
1423.2086,96.8676
1425.1371,96.979
1427.0656,96.9908
1428.9940,96.8748
1430.9225,96.6439
1432.8510,96.3519
1434.7794,96.0728
1436.7079,95.8574
1438.6364,95.6968
1440.5648,95.5331
1442.4933,95.3025
1444.4218,94.9637
1446.3502,94.482
1448.2787,93.7848
1450.2072,92.7258
1452.1356,91.1148
1454.0641,88.8561
1455.9926,86.1607
1457.9210,83.6103
1459.8495,81.8367
1461.7780,81.0675
1463.7064,81.0661
1465.6349,81.4542
1467.5634,82.0308
1469.4918,82.9043
1471.4203,84.408
1473.3488,86.7821
1475.2772,89.8312
1477.2057,92.9691
1479.1342,95.6139
1481.0626,97.4698
1482.9911,98.5321
1484.9196,98.9807
1486.8480,99.0799
1488.7765,99.0892
1490.7050,99.1774
1492.6334,99.375
1494.5619,99.6072
1496.4904,99.7728
1498.4188,99.8008
1500.3473,99.662
1502.2758,99.3696
