TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,90.9536
401.1211,90.8708
403.0496,90.7794
404.9781,90.7086
406.9065,90.6801
408.8350,90.6915
410.7635,90.7135
412.6919,90.6967
414.6204,90.5866
416.5489,90.3497
418.4773,90.0003
420.4058,89.6021
422.3343,89.2307
424.2627,88.9305
426.1912,88.71
428.1197,88.5628
430.0481,88.489
431.9766,88.5014
433.9051,88.6189
435.8335,88.8529
437.7620,89.1948
439.6905,89.6115
441.6189,90.0493
443.5474,90.4458
445.4759,90.7495
447.4043,90.9393
449.3328,91.0315
451.2613,91.0692
453.1897,91.1035
455.1182,91.1727
457.0467,91.2865
458.9751,91.4226
460.9036,91.5419
462.8321,91.615
464.7605,91.6384
466.6890,91.6312
468.6175,91.6216
470.5459,91.6296
472.4744,91.6555
474.4029,91.6819
476.3313,91.6877
478.2598,91.6634
480.1883,91.615
482.1167,91.5569
484.0452,91.4996
485.9737,91.4426
487.9021,91.3751
489.8306,91.2857
491.7591,91.1709
493.6875,91.0382
495.6160,90.9009
497.5445,90.7698
499.4729,90.6484
501.4014,90.5322
503.3299,90.4129
505.2583,90.2833
507.1868,90.1407
509.1153,89.9867
511.0437,89.8261
512.9722,89.6646
514.9007,89.5073
516.8292,89.3568
518.7576,89.2124
520.6861,89.071
522.6146,88.9299
524.5430,88.7895
526.4715,88.6532
528.4000,88.5242
530.3284,88.403
532.2569,88.2861
534.1854,88.1682
536.1138,88.0455
538.0423,87.9173
539.9708,87.786
541.8992,87.6555
543.8277,87.5297
545.7562,87.4122
547.6846,87.3047
549.6131,87.2056
551.5416,87.1074
553.4700,86.9978
555.3985,86.8634
557.3270,86.6974
559.2554,86.5042
561.1839,86.2994
563.1124,86.1023
565.0408,85.9261
566.9693,85.768
568.8978,85.6081
570.8262,85.4151
572.7547,85.1599
574.6832,84.8306
576.6116,84.4423
578.5401,84.038
580.4686,83.6777
582.3970,83.4192
584.3255,83.2988
586.2540,83.3206
588.1824,83.4594
590.1109,83.6733
592.0394,83.9212
593.9678,84.1752
