TITLE SAMPLE NAME:,Polyethylene Terephthalate (bottles, containers)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,68.0418
400.1569,68.7616
401.1211,69.3911
402.0854,69.9573
403.0496,70.4869
404.0138,70.9786
404.9781,71.3946
405.9423,71.6792
406.9065,71.7977
407.8708,71.7702
408.8350,71.6697
409.7992,71.5856
410.7635,71.5795
411.7277,71.6592
412.6919,71.7875
413.6562,71.9148
414.6204,72.0048
415.5846,72.0308
416.5489,71.9538
417.5131,71.7093
418.4773,71.2482
419.4416,70.6193
420.4058,69.9622
421.3700,69.3852
422.3343,68.9073
423.2985,68.4985
424.2627,68.124
425.2270,67.7595
426.1912,67.389
427.1554,66.9995
428.1197,66.5809
429.0839,66.133
430.0481,65.6757
431.0124,65.2518
431.9766,64.92
432.9408,64.7392
433.9051,64.753
434.8693,64.9809
435.8335,65.4156
436.7978,66.0282
437.7620,66.7803
438.7262,67.6369
439.6905,68.5707
440.6547,69.5543
441.6189,70.5498
442.5832,71.508
443.5474,72.3829
444.5116,73.1504
445.4759,73.8124
446.4401,74.3818
447.4043,74.8664
448.3686,75.2659
449.3328,75.5811
450.2970,75.8226
451.2613,76.0118
452.2255,76.1732
453.1897,76.3246
454.1540,76.4715
455.1182,76.6064
456.0824,76.7116
457.0467,76.7637
458.0109,76.7466
458.9751,76.6673
459.9394,76.5581
460.9036,76.4591
461.8678,76.3959
462.8321,76.3689
463.7963,76.3554
464.7605,76.3221
465.7248,76.2447
466.6890,76.1241
467.6532,75.9865
468.6175,75.8646
469.5817,75.7762
470.5459,75.7125
471.5102,75.6434
472.4744,75.5385
473.4386,75.3891
474.4029,75.2117
475.3671,75.0317
476.3313,74.865
477.2956,74.7134
478.2598,74.5706
479.2240,74.429
480.1883,74.2831
481.1525,74.1281
482.1167,73.9582
483.0810,73.7688
484.0452,73.5601
485.0094,73.3387
485.9737,73.1124
486.9379,72.881
487.9021,72.6325
488.8664,72.346
489.8306,71.9994
490.7948,71.5768
491.7591,71.0714
492.7233,70.4863
493.6875,69.8326
494.6518,69.1314
495.6160,68.4156
496.5802,67.7273
497.5445,67.1101
498.5087,66.5982
499.4729,66.2102
500.4372,65.9499
501.4014,65.8166
502.3656,65.8203
503.3299,65.9923
504.2941,66.3806
505.2583,67.0298
506.2226,67.9528
507.1868,69.1069
508.1510,70.3894
509.1153,71.6617
510.0795,72.7954
511.0437,73.7121
512.0080,74.394
512.9722,74.8655
513.9365,75.168
514.9007,75.3422
515.8649,75.4222
516.8292,75.4386
517.7934,75.4212
518.7576,75.3996
519.7219,75.3991
520.6861,75.4366
521.6503,75.52
522.6146,75.649
523.5788,75.8157
524.5430,76.005
525.5073,76.199
526.4715,76.3863
527.4357,76.5705
528.4000,76.768
529.3642,76.9978
530.3284,77.2687
531.2927,77.5739
532.2569,77.8935
533.2211,78.203
534.1854,78.4842
535.1496,78.7313
536.1138,78.9508
537.0781,79.1548
538.0423,79.3547
539.0065,79.5556
539.9708,79.7563
540.9350,79.9502
541.8992,80.1284
542.8635,80.2839
543.8277,80.4142
544.7919,80.5234
545.7562,80.6213
546.7204,80.7195
547.6846,80.8263
548.6489,80.9436
549.6131,81.0665
550.5773,81.1863
551.5416,81.2939
552.5058,81.3835
553.4700,81.4535
554.4343,81.5062
555.3985,81.547
556.3627,81.5811
557.3270,81.6122
558.2912,81.641
559.2554,81.666
560.2197,81.686
561.1839,81.7016
562.1481,81.7151
563.1124,81.7289
564.0766,81.7422
565.0408,81.7515
566.0051,81.7518
566.9693,81.7408
567.9335,81.721
568.8978,81.6993
569.8620,81.6827
570.8262,81.6757
571.7905,81.6794
572.7547,81.6929
573.7189,81.7156
574.6832,81.7478
575.6474,81.7882
576.6116,81.8336
577.5759,81.8787
578.5401,81.9191
579.5043,81.953
580.4686,81.9816
581.4328,82.0061
582.3970,82.0252
583.3613,82.0337
584.3255,82.0248
585.2897,81.9942
586.2540,81.9428
587.2182,81.878
588.1824,81.8103
589.1467,81.7494
590.1109,81.7003
591.0751,81.6617
592.0394,81.6269
593.0036,81.5881
593.9678,81.5409
594.9321,81.4867
595.8963,81.431
596.8605,81.3791
597.8248,81.3324
598.7890,81.2874
599.7532,81.238
600.7175,81.1799
601.6817,81.1133
