TITLE SAMPLE NAME:,Polyethylene Terephthalate (bottles, containers)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,74.9053
400.1569,75.4595
401.1211,75.9022
402.0854,76.2717
403.0496,76.5818
404.0138,76.8206
404.9781,76.9686
405.9423,77.0229
406.9065,77.0111
407.8708,76.9837
408.8350,76.987
409.7992,77.0339
410.7635,77.0886
411.7277,77.0764
412.6919,76.9191
413.6562,76.5718
414.6204,76.0359
415.5846,75.3534
416.5489,74.6083
417.5131,73.9349
418.4773,73.4818
419.4416,73.299
420.4058,73.2715
421.3700,73.2298
422.3343,73.0828
423.2985,72.8348
424.2627,72.5395
425.2270,72.254
426.1912,72.0092
427.1554,71.7999
428.1197,71.5991
429.0839,71.3841
430.0481,71.1554
431.0124,70.9406
431.9766,70.7848
432.9408,70.7348
433.9051,70.8237
434.8693,71.0607
435.8335,71.427
436.7978,71.8836
437.7620,72.3892
438.7262,72.919
439.6905,73.4699
440.6547,74.0508
441.6189,74.6669
442.5832,75.3103
443.5474,75.9625
444.5116,76.6049
445.4759,77.2227
446.4401,77.7998
447.4043,78.3124
448.3686,78.7327
449.3328,79.0423
450.2970,79.2448
451.2613,79.3655
452.2255,79.435
453.1897,79.4704
454.1540,79.4702
455.1182,79.4284
456.0824,79.357
457.0467,79.2993
458.0109,79.3147
458.9751,79.4374
459.9394,79.6459
460.9036,79.8754
461.8678,80.056
462.8321,80.1418
463.7963,80.1192
464.7605,80.0022
465.7248,79.8205
466.6890,79.6043
467.6532,79.3734
468.6175,79.1368
469.5817,78.9016
470.5459,78.6824
471.5102,78.5022
472.4744,78.3812
473.4386,78.3211
474.4029,78.3004
475.3671,78.2872
476.3313,78.2558
477.2956,78.1951
478.2598,78.105
479.2240,77.988
480.1883,77.8422
481.1525,77.6625
482.1167,77.4486
483.0810,77.2143
484.0452,76.9873
485.0094,76.794
485.9737,76.64
486.9379,76.5016
487.9021,76.3362
488.8664,76.1054
489.8306,75.7932
490.7948,75.4125
491.7591,74.995
492.7233,74.5697
493.6875,74.1453
494.6518,73.7094
495.6160,73.2452
496.5802,72.7517
497.5445,72.254
498.5087,71.7988
499.4729,71.4406
500.4372,71.2247
501.4014,71.1757
502.3656,71.2954
503.3299,71.5747
504.2941,72.0092
505.2583,72.6042
506.2226,73.3629
507.1868,74.2647
508.1510,75.2509
509.1153,76.2316
510.0795,77.1117
511.0437,77.821
512.0080,78.3286
512.9722,78.6405
513.9365,78.7893
514.9007,78.8238
515.8649,78.8025
516.8292,78.7836
517.7934,78.8111
518.7576,78.8993
519.7219,79.0298
520.6861,79.167
521.6503,79.2813
522.6146,79.3644
523.5788,79.4324
524.5430,79.5183
525.5073,79.6566
526.4715,79.8666
527.4357,80.142
528.4000,80.4556
529.3642,80.7733
530.3284,81.0677
531.2927,81.324
532.2569,81.542
533.2211,81.7334
534.1854,81.9178
535.1496,82.1145
536.1138,82.3346
537.0781,82.5756
538.0423,82.8212
539.0065,83.0479
539.9708,83.2338
540.9350,83.3679
541.8992,83.4538
542.8635,83.5074
543.8277,83.5499
544.7919,83.6009
545.7562,83.6733
546.7204,83.7716
547.6846,83.8935
548.6489,84.0324
549.6131,84.1794
550.5773,84.326
551.5416,84.4654
552.5058,84.5948
553.4700,84.7143
554.4343,84.8259
555.3985,84.9302
556.3627,85.0253
557.3270,85.1078
558.2912,85.1763
559.2554,85.2337
560.2197,85.2861
561.1839,85.3392
562.1481,85.3926
563.1124,85.4381
564.0766,85.4623
565.0408,85.4522
566.0051,85.4027
566.9693,85.3213
567.9335,85.2272
568.8978,85.1454
569.8620,85.0954
570.8262,85.0827
571.7905,85.0972
572.7547,85.1187
573.7189,85.1268
574.6832,85.1094
575.6474,85.0687
576.6116,85.019
577.5759,84.9802
578.5401,84.9681
579.5043,84.9882
580.4686,85.035
581.4328,85.0941
582.3970,85.148
583.3613,85.1818
584.3255,85.1866
585.2897,85.1618
586.2540,85.1126
587.2182,85.0474
588.1824,84.9756
589.1467,84.9056
590.1109,84.8444
591.0751,84.7972
592.0394,84.7649
593.0036,84.7435
593.9678,84.7249
594.9321,84.7004
595.8963,84.6654
596.8605,84.621
597.8248,84.5735
598.7890,84.5295
599.7532,84.4922
600.7175,84.4588
