TITLE SAMPLE NAME:,Polypropylene (medicine containers, plastics caps, containers, makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,85.172
400.1569,86.0144
401.1211,87.0583
402.0854,88.0896
403.0496,88.9716
404.0138,89.6294
404.9781,90.0342
405.9423,90.2044
406.9065,90.2065
407.8708,90.1424
408.8350,90.1219
409.7992,90.2313
410.7635,90.5019
411.7277,90.8876
412.6919,91.2741
413.6562,91.5267
414.6204,91.5413
415.5846,91.2719
416.5489,90.7513
417.5131,90.1235
418.4773,89.6364
419.4416,89.4938
420.4058,89.6785
421.3700,90.0122
422.3343,90.3477
423.2985,90.643
424.2627,90.9241
425.2270,91.2264
426.1912,91.5558
427.1554,91.8821
428.1197,92.1599
429.0839,92.3541
430.0481,92.4508
431.0124,92.4537
431.9766,92.3774
432.9408,92.2425
433.9051,92.0764
434.8693,91.9125
435.8335,91.7825
436.7978,91.7036
437.7620,91.6715
438.7262,91.666
439.6905,91.6657
440.6547,91.6589
441.6189,91.6442
442.5832,91.6233
443.5474,91.5941
444.5116,91.5497
445.4759,91.485
446.4401,91.3998
447.4043,91.2981
448.3686,91.1836
449.3328,91.0603
450.2970,90.9348
451.2613,90.8164
452.2255,90.7114
453.1897,90.6149
454.1540,90.5098
455.1182,90.3789
456.0824,90.2258
457.0467,90.0905
458.0109,90.0376
458.9751,90.1124
459.9394,90.3028
460.9036,90.5475
461.8678,90.7793
462.8321,90.96
463.7963,91.089
464.7605,91.1902
465.7248,91.2867
466.6890,91.378
467.6532,91.4392
468.6175,91.4428
469.5817,91.389
470.5459,91.3227
471.5102,91.3223
472.4744,91.4573
473.4386,91.7382
474.4029,92.1045
475.3671,92.4637
476.3313,92.7419
477.2956,92.9101
478.2598,92.9804
479.2240,92.9875
480.1883,92.9699
481.1525,92.9579
482.1167,92.9719
483.0810,93.0247
484.0452,93.1192
485.0094,93.2422
485.9737,93.3641
486.9379,93.4497
487.9021,93.4757
488.8664,93.4425
489.8306,93.3762
490.7948,93.3178
491.7591,93.3052
492.7233,93.3564
493.6875,93.4619
494.6518,93.5925
495.6160,93.7134
496.5802,93.7952
497.5445,93.82
498.5087,93.784
499.4729,93.6995
500.4372,93.5958
501.4014,93.5119
502.3656,93.4793
503.3299,93.5042
504.2941,93.5629
505.2583,93.617
506.2226,93.637
507.1868,93.6187
508.1510,93.5834
509.1153,93.5628
510.0795,93.5775
511.0437,93.6227
512.0080,93.6704
512.9722,93.6841
513.9365,93.6359
514.9007,93.5199
515.8649,93.3593
516.8292,93.2023
517.7934,93.1053
518.7576,93.105
519.7219,93.1964
520.6861,93.3345
521.6503,93.459
522.6146,93.5234
523.5788,93.5129
524.5430,93.4504
525.5073,93.3835
526.4715,93.3579
527.4357,93.3888
528.4000,93.4545
529.3642,93.5147
530.3284,93.5382
531.2927,93.5181
532.2569,93.4713
533.2211,93.4249
534.1854,93.3998
535.1496,93.401
536.1138,93.4194
537.0781,93.442
538.0423,93.4612
539.0065,93.4782
539.9708,93.4992
540.9350,93.5296
541.8992,93.5686
542.8635,93.61
543.8277,93.6453
544.7919,93.6694
545.7562,93.6844
546.7204,93.6997
547.6846,93.7268
548.6489,93.7732
549.6131,93.837
550.5773,93.9076
551.5416,93.9703
552.5058,94.013
553.4700,94.0314
554.4343,94.0299
555.3985,94.0189
556.3627,94.0098
557.3270,94.0117
558.2912,94.0285
559.2554,94.0598
560.2197,94.1014
561.1839,94.1461
562.1481,94.1847
563.1124,94.207
564.0766,94.2056
565.0408,94.1789
566.0051,94.1332
566.9693,94.0821
567.9335,94.0414
568.8978,94.0228
569.8620,94.0283
570.8262,94.0499
571.7905,94.0744
572.7547,94.0899
573.7189,94.0893
574.6832,94.0723
575.6474,94.0434
576.6116,94.0101
577.5759,93.9809
578.5401,93.964
579.5043,93.9653
580.4686,93.9875
581.4328,94.0285
582.3970,94.0818
583.3613,94.1388
584.3255,94.1904
585.2897,94.2284
586.2540,94.2462
587.2182,94.2397
588.1824,94.2089
589.1467,94.1617
590.1109,94.1138
591.0751,94.0852
592.0394,94.0909
593.0036,94.132
593.9678,94.1939
594.9321,94.254
595.8963,94.293
596.8605,94.3042
597.8248,94.2946
598.7890,94.279
599.7532,94.2711
600.7175,94.2773
