TITLE SAMPLE NAME:,Polypropylene (medicine containers, plastics caps, containers, makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,97.3632
400.1569,96.8142
401.1211,96.2679
402.0854,95.9391
403.0496,95.8992
404.0138,96.1204
404.9781,96.51
405.9423,96.9398
406.9065,97.2898
407.8708,97.4944
408.8350,97.5629
409.7992,97.5639
410.7635,97.5838
411.7277,97.6839
412.6919,97.8757
413.6562,98.1311
414.6204,98.4139
415.5846,98.7015
416.5489,98.984
417.5131,99.2411
418.4773,99.424
419.4416,99.4774
420.4058,99.3958
421.3700,99.2271
422.3343,99.0242
423.2985,98.8175
424.2627,98.6189
425.2270,98.4336
426.1912,98.2676
427.1554,98.1295
428.1197,98.0273
429.0839,97.9632
430.0481,97.9316
431.0124,97.9205
431.9766,97.9169
432.9408,97.9133
433.9051,97.9097
434.8693,97.9097
435.8335,97.915
436.7978,97.9237
437.7620,97.9343
438.7262,97.9511
439.6905,97.9835
440.6547,98.0381
441.6189,98.1079
442.5832,98.1674
443.5474,98.1819
444.5116,98.1292
445.4759,98.0158
446.4401,97.8733
447.4043,97.7396
448.3686,97.6389
449.3328,97.5729
450.2970,97.5232
451.2613,97.4631
452.2255,97.3726
453.1897,97.2469
454.1540,97.0958
455.1182,96.9375
456.0824,96.7919
457.0467,96.6777
458.0109,96.6088
458.9751,96.5923
459.9394,96.6284
460.9036,96.7147
461.8678,96.849
462.8321,97.0268
463.7963,97.2363
464.7605,97.4546
465.7248,97.6539
466.6890,97.8139
467.6532,97.9334
468.6175,98.0296
469.5817,98.125
470.5459,98.2311
471.5102,98.3381
472.4744,98.4197
473.4386,98.4528
474.4029,98.4357
475.3671,98.3877
476.3313,98.3339
477.2956,98.2904
478.2598,98.2618
479.2240,98.2467
480.1883,98.245
481.1525,98.2593
482.1167,98.2898
483.0810,98.3262
484.0452,98.3477
485.0094,98.334
485.9737,98.2806
486.9379,98.2055
487.9021,98.1395
488.8664,98.1101
489.8306,98.127
490.7948,98.1778
491.7591,98.2345
492.7233,98.2687
493.6875,98.268
494.6518,98.2419
495.6160,98.2145
496.5802,98.2091
497.5445,98.2359
498.5087,98.2868
499.4729,98.3403
500.4372,98.3737
501.4014,98.377
502.3656,98.36
503.3299,98.3451
504.2941,98.3504
505.2583,98.3746
506.2226,98.3971
507.1868,98.3916
508.1510,98.3439
509.1153,98.2629
510.0795,98.1759
511.0437,98.1122
512.0080,98.0867
512.9722,98.0943
513.9365,98.1161
514.9007,98.1303
515.8649,98.1219
516.8292,98.0865
517.7934,98.0297
518.7576,97.9628
519.7219,97.8981
520.6861,97.8459
521.6503,97.8131
522.6146,97.802
523.5788,97.8081
524.5430,97.8195
525.5073,97.8191
526.4715,97.7937
527.4357,97.7418
528.4000,97.6764
529.3642,97.6172
530.3284,97.5821
531.2927,97.5797
532.2569,97.6085
533.2211,97.6595
534.1854,97.7218
535.1496,97.7872
536.1138,97.8528
537.0781,97.9191
538.0423,97.986
539.0065,98.0504
539.9708,98.1061
540.9350,98.1461
541.8992,98.166
542.8635,98.1659
543.8277,98.1512
544.7919,98.1304
545.7562,98.1134
546.7204,98.1086
547.6846,98.1217
548.6489,98.1535
549.6131,98.2
550.5773,98.2521
551.5416,98.298
552.5058,98.3264
553.4700,98.3313
554.4343,98.3144
555.3985,98.2846
556.3627,98.254
557.3270,98.2328
558.2912,98.2256
559.2554,98.2303
560.2197,98.2409
561.1839,98.2506
562.1481,98.2551
563.1124,98.2532
564.0766,98.2468
565.0408,98.2387
566.0051,98.2312
566.9693,98.2253
567.9335,98.2212
568.8978,98.2187
569.8620,98.2175
570.8262,98.2165
571.7905,98.2132
572.7547,98.2038
573.7189,98.1853
574.6832,98.1585
575.6474,98.129
576.6116,98.1062
577.5759,98.0985
578.5401,98.1092
579.5043,98.1352
580.4686,98.1695
581.4328,98.2047
582.3970,98.2349
583.3613,98.2556
584.3255,98.263
585.2897,98.255
586.2540,98.2333
587.2182,98.2059
588.1824,98.1852
589.1467,98.183
590.1109,98.2041
591.0751,98.2423
592.0394,98.2826
593.0036,98.3088
593.9678,98.3114
594.9321,98.2915
595.8963,98.2578
596.8605,98.2209
597.8248,98.1889
598.7890,98.1662
599.7532,98.1538
