TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,43.2173
401.1211,46.8441
403.0496,50.3497
404.9781,53.3198
406.9065,55.545
408.8350,57.0059
410.7635,57.8471
412.6919,58.3505
414.6204,58.8756
416.5489,59.738
418.4773,61.0486
420.4058,62.6427
422.3343,64.2056
424.2627,65.4966
426.1912,66.4682
428.1197,67.2359
430.0481,67.983
431.9766,68.8662
433.9051,69.9486
435.8335,71.1778
437.7620,72.427
439.6905,73.5771
441.6189,74.5851
443.5474,75.4985
445.4759,76.4122
447.4043,77.4005
449.3328,78.4691
451.2613,79.5533
453.1897,80.5528
455.1182,81.385
457.0467,82.0328
458.9751,82.5578
460.9036,83.0607
462.8321,83.6116
464.7605,84.2072
466.6890,84.7811
468.6175,85.2514
470.5459,85.5736
472.4744,85.7698
474.4029,85.9162
476.3313,86.1036
478.2598,86.4017
480.1883,86.8493
482.1167,87.4556
484.0452,88.1945
485.9737,88.993
487.9021,89.733
489.8306,90.2835
491.7591,90.5567
493.6875,90.5551
495.6160,90.3818
497.5445,90.202
499.4729,90.17
501.4014,90.3556
503.3299,90.7082
505.2583,91.0839
507.1868,91.3235
509.1153,91.3331
511.0437,91.1232
512.9722,90.7927
514.9007,90.4755
516.8292,90.2798
518.7576,90.2451
520.6861,90.337
522.6146,90.4765
524.5430,90.5843
526.4715,90.6136
528.4000,90.5594
530.3284,90.4483
532.2569,90.3181
534.1854,90.2007
536.1138,90.1115
538.0423,90.0497
539.9708,90.0051
541.8992,89.9682
543.8277,89.9383
545.7562,89.9263
547.6846,89.9502
549.6131,90.0266
551.5416,90.162
553.4700,90.3475
555.3985,90.5604
557.3270,90.7711
559.2554,90.9525
561.1839,91.0866
563.1124,91.1662
565.0408,91.1902
566.9693,91.158
568.8978,91.0673
570.8262,90.9187
572.7547,90.7234
574.6832,90.5068
576.6116,90.3027
578.5401,90.1373
580.4686,90.0132
582.3970,89.9038
584.3255,89.7663
586.2540,89.566
588.1824,89.2955
590.1109,88.9758
592.0394,88.6352
593.9678,88.2821
