TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,80.1039
401.1211,79.7487
403.0496,79.5462
404.9781,79.5178
406.9065,79.6153
408.8350,79.7379
410.7635,79.7491
412.6919,79.5146
414.6204,78.9747
416.5489,78.2217
418.4773,77.5032
420.4058,77.0914
422.3343,77.1132
424.2627,77.5048
426.1912,78.1057
428.1197,78.7669
430.0481,79.4013
431.9766,79.9849
433.9051,80.5357
435.8335,81.0881
437.7620,81.6678
439.6905,82.2725
441.6189,82.8646
443.5474,83.3823
445.4759,83.7708
447.4043,84.0164
449.3328,84.1559
451.2613,84.2547
453.1897,84.3712
455.1182,84.5283
457.0467,84.705
458.9751,84.8525
460.9036,84.9287
462.8321,84.9257
464.7605,84.8731
466.6890,84.8211
468.6175,84.8187
470.5459,84.8892
472.4744,85.014
474.4029,85.1379
476.3313,85.202
478.2598,85.1807
480.1883,85.0939
482.1167,84.9892
484.0452,84.909
485.9737,84.863
487.9021,84.8222
489.8306,84.7356
491.7591,84.5587
493.6875,84.2747
495.6160,83.9005
497.5445,83.4795
499.4729,83.0658
501.4014,82.7043
503.3299,82.4091
505.2583,82.1519
507.1868,81.8703
509.1153,81.4964
511.0437,80.989
512.9722,80.3521
514.9007,79.6308
516.8292,78.8906
518.7576,78.1898
520.6861,77.5593
522.6146,76.9989
524.5430,76.488
526.4715,76.0026
528.4000,75.5275
530.3284,75.0608
532.2569,74.6116
534.1854,74.1935
536.1138,73.8193
538.0423,73.4988
539.9708,73.24
541.8992,73.0524
543.8277,72.9495
545.7562,72.9462
547.6846,73.0522
549.6131,73.2655
551.5416,73.57
553.4700,73.9413
555.3985,74.3559
557.3270,74.8004
559.2554,75.2749
561.1839,75.7873
563.1124,76.3438
565.0408,76.9377
566.9693,77.5459
568.8978,78.1345
570.8262,78.674
572.7547,79.154
574.6832,79.5885
576.6116,80.0074
578.5401,80.4377
580.4686,80.8859
582.3970,81.3324
584.3255,81.7423
586.2540,82.0862
588.1824,82.3585
590.1109,82.5817
592.0394,82.7955
593.9678,83.0364
