TITLE SAMPLE NAME:,Polypropylene (medicine containers, plastics caps, containers, makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,93.7377
400.1569,94.368
401.1211,95.0931
402.0854,95.7491
403.0496,96.2505
404.0138,96.5742
404.9781,96.7424
405.9423,96.8085
406.9065,96.8379
407.8708,96.8839
408.8350,96.9698
409.7992,97.0843
410.7635,97.1901
411.7277,97.2405
412.6919,97.1971
413.6562,97.0408
414.6204,96.7695
415.5846,96.3951
416.5489,95.9545
417.5131,95.5345
418.4773,95.2662
419.4416,95.2412
420.4058,95.4224
421.3700,95.6894
422.3343,95.9452
423.2985,96.1549
424.2627,96.3246
425.2270,96.4721
426.1912,96.6075
427.1554,96.7264
428.1197,96.8148
429.0839,96.8587
430.0481,96.8514
431.0124,96.7956
431.9766,96.7027
432.9408,96.5907
433.9051,96.4815
434.8693,96.3963
435.8335,96.3495
436.7978,96.3416
437.7620,96.3579
438.7262,96.3763
439.6905,96.3775
440.6547,96.3527
441.6189,96.3042
442.5832,96.2413
443.5474,96.1746
444.5116,96.1118
445.4759,96.0565
446.4401,96.0083
447.4043,95.9628
448.3686,95.9102
449.3328,95.837
450.2970,95.7294
451.2613,95.5787
452.2255,95.3835
453.1897,95.1494
454.1540,94.8887
455.1182,94.6237
456.0824,94.3936
457.0467,94.253
458.0109,94.2515
458.9751,94.4029
459.9394,94.6736
460.9036,95.0056
461.8678,95.3483
462.8321,95.669
463.7963,95.9453
464.7605,96.1548
465.7248,96.2748
466.6890,96.295
467.6532,96.2303
468.6175,96.1227
469.5817,96.0293
470.5459,96.0017
471.5102,96.0658
472.4744,96.2102
473.4386,96.3971
474.4029,96.5887
475.3671,96.7675
476.3313,96.9346
477.2956,97.092
478.2598,97.23
479.2240,97.3263
480.1883,97.3602
481.1525,97.3275
482.1167,97.2476
483.0810,97.1567
484.0452,97.0909
485.0094,97.0693
485.9737,97.0883
486.9379,97.1294
487.9021,97.1716
488.8664,97.2011
489.8306,97.2131
490.7948,97.2111
491.7591,97.2052
492.7233,97.2098
493.6875,97.2384
494.6518,97.2961
495.6160,97.374
496.5802,97.4501
497.5445,97.4977
498.5087,97.497
499.4729,97.4453
500.4372,97.3598
501.4014,97.2704
502.3656,97.2048
503.3299,97.1741
504.2941,97.1702
505.2583,97.1752
506.2226,97.1749
507.1868,97.1674
508.1510,97.1615
509.1153,97.1695
510.0795,97.1964
511.0437,97.2342
512.0080,97.2625
512.9722,97.2559
513.9365,97.1945
514.9007,97.075
515.8649,96.9172
516.8292,96.7632
517.7934,96.6612
518.7576,96.6404
519.7219,96.6925
520.6861,96.7767
521.6503,96.8437
522.6146,96.8614
523.5788,96.8274
524.5430,96.7683
525.5073,96.7249
526.4715,96.7291
527.4357,96.787
528.4000,96.8788
529.3642,96.9743
530.3284,97.0488
531.2927,97.0901
532.2569,97.0963
533.2211,97.0726
534.1854,97.0292
535.1496,96.9813
536.1138,96.9469
537.0781,96.9421
538.0423,96.9729
539.0065,97.0316
539.9708,97.0999
540.9350,97.158
541.8992,97.1949
542.8635,97.2124
543.8277,97.2202
544.7919,97.2278
545.7562,97.2387
546.7204,97.2501
547.6846,97.2586
548.6489,97.2654
549.6131,97.2769
550.5773,97.3001
551.5416,97.3383
552.5058,97.3887
553.4700,97.4447
554.4343,97.4987
555.3985,97.5451
556.3627,97.5805
557.3270,97.6039
558.2912,97.617
559.2554,97.6244
560.2197,97.6315
561.1839,97.6407
562.1481,97.6467
563.1124,97.6375
564.0766,97.6002
565.0408,97.5305
566.0051,97.4389
566.9693,97.3493
567.9335,97.2886
568.8978,97.2715
569.8620,97.2922
570.8262,97.327
571.7905,97.3484
572.7547,97.3394
573.7189,97.3001
574.6832,97.2448
575.6474,97.1908
576.6116,97.1476
577.5759,97.1125
578.5401,97.0748
579.5043,97.0256
580.4686,96.9649
581.4328,96.9026
582.3970,96.8529
583.3613,96.8262
584.3255,96.8237
585.2897,96.837
586.2540,96.8522
587.2182,96.8564
588.1824,96.8434
589.1467,96.8165
590.1109,96.7872
591.0751,96.771
592.0394,96.779
593.0036,96.8115
593.9678,96.8573
594.9321,96.9003
595.8963,96.9298
596.8605,96.9465
597.8248,96.9629
598.7890,96.995
599.7532,97.0537
