TITLE SAMPLE NAME:,Polypropylene (medicine containers, plastics caps, containers, makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,85.1359
400.1569,85.8669
401.1211,86.6314
402.0854,87.3222
403.0496,87.885
404.0138,88.3078
404.9781,88.6087
405.9423,88.8238
406.9065,88.9928
407.8708,89.1493
408.8350,89.319
409.7992,89.5215
410.7635,89.7627
411.7277,90.0181
412.6919,90.2282
413.6562,90.3212
414.6204,90.2458
415.5846,89.999
416.5489,89.6451
417.5131,89.3233
418.4773,89.193
419.4416,89.2958
420.4058,89.4982
421.3700,89.6335
422.3343,89.6454
423.2985,89.5897
424.2627,89.5709
425.2270,89.6782
426.1912,89.9402
427.1554,90.3149
428.1197,90.718
429.0839,91.0635
430.0481,91.2882
431.0124,91.3602
431.9766,91.2814
432.9408,91.0892
433.9051,90.8515
434.8693,90.6479
435.8335,90.5365
436.7978,90.5247
437.7620,90.5658
438.7262,90.5892
439.6905,90.5442
440.6547,90.4269
441.6189,90.2786
442.5832,90.155
443.5474,90.0857
444.5116,90.0525
445.4759,90.007
446.4401,89.9096
447.4043,89.756
448.3686,89.5743
449.3328,89.4037
450.2970,89.2714
451.2613,89.1811
452.2255,89.1158
453.1897,89.051
454.1540,88.9694
455.1182,88.8691
456.0824,88.7663
457.0467,88.6917
458.0109,88.6775
458.9751,88.7392
459.9394,88.8664
460.9036,89.0328
461.8678,89.2128
462.8321,89.3907
463.7963,89.5594
464.7605,89.7137
465.7248,89.8461
466.6890,89.9455
467.6532,90.0037
468.6175,90.0236
469.5817,90.0271
470.5459,90.0552
471.5102,90.1562
472.4744,90.3607
473.4386,90.6584
474.4029,90.9988
475.3671,91.3172
476.3313,91.5625
477.2956,91.71
478.2598,91.7608
479.2240,91.7374
480.1883,91.6769
481.1525,91.6232
482.1167,91.6156
483.0810,91.6761
484.0452,91.799
485.0094,91.9507
485.9737,92.0853
486.9379,92.1694
487.9021,92.1964
488.8664,92.1856
489.8306,92.1675
490.7948,92.1677
491.7591,92.1969
492.7233,92.2494
493.6875,92.312
494.6518,92.3716
495.6160,92.4189
496.5802,92.4459
497.5445,92.4445
498.5087,92.4103
499.4729,92.3487
500.4372,92.2777
501.4014,92.2221
502.3656,92.1997
503.3299,92.2096
504.2941,92.2341
505.2583,92.2528
506.2226,92.2571
507.1868,92.2556
508.1510,92.266
509.1153,92.3012
510.0795,92.3578
511.0437,92.4155
512.0080,92.4456
512.9722,92.4235
513.9365,92.3381
514.9007,92.1969
515.8649,92.0273
516.8292,91.8728
517.7934,91.7787
518.7576,91.7703
519.7219,91.8384
520.6861,91.9429
521.6503,92.0345
522.6146,92.0772
523.5788,92.0616
524.5430,92.0069
525.5073,91.951
526.4715,91.9289
527.4357,91.9517
528.4000,92.0008
529.3642,92.042
530.3284,92.0475
531.2927,92.0098
532.2569,91.9444
533.2211,91.881
534.1854,91.8478
535.1496,91.8581
536.1138,91.9056
537.0781,91.9706
538.0423,92.0323
539.0065,92.0781
539.9708,92.1073
540.9350,92.1264
541.8992,92.1426
542.8635,92.1582
543.8277,92.1712
544.7919,92.1797
545.7562,92.1861
546.7204,92.1992
547.6846,92.2302
548.6489,92.2858
549.6131,92.3622
550.5773,92.445
551.5416,92.5149
552.5058,92.5563
553.4700,92.5649
554.4343,92.5502
555.3985,92.5299
556.3627,92.5218
557.3270,92.5347
558.2912,92.5664
559.2554,92.6072
560.2197,92.6463
561.1839,92.6763
562.1481,92.6942
563.1124,92.6981
564.0766,92.6859
565.0408,92.6566
566.0051,92.6134
566.9693,92.5658
567.9335,92.5271
568.8978,92.5072
569.8620,92.507
570.8262,92.5172
571.7905,92.5248
572.7547,92.521
573.7189,92.5057
574.6832,92.4861
575.6474,92.4716
576.6116,92.4677
577.5759,92.4738
578.5401,92.485
579.5043,92.4967
580.4686,92.5078
581.4328,92.5204
582.3970,92.5383
583.3613,92.5634
584.3255,92.5938
585.2897,92.6233
586.2540,92.6431
587.2182,92.645
588.1824,92.6262
589.1467,92.5918
590.1109,92.5552
591.0751,92.5333
592.0394,92.5389
593.0036,92.5726
593.9678,92.6228
594.9321,92.6717
595.8963,92.7051
596.8605,92.7187
597.8248,92.7182
598.7890,92.7142
599.7532,92.7154
