TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,80.0504
400.1569,81.3767
401.1211,82.3997
402.0854,83.1091
403.0496,83.5697
404.0138,83.8301
404.9781,83.9038
405.9423,83.8069
406.9065,83.614
407.8708,83.4758
408.8350,83.5675
409.7992,83.9836
410.7635,84.6323
411.7277,85.2109
412.6919,85.3394
413.6562,84.7981
414.6204,83.6713
415.5846,82.3124
416.5489,81.225
417.5131,80.9056
418.4773,81.5598
419.4416,82.7949
420.4058,83.8087
421.3700,84.0762
422.3343,83.657
423.2985,82.927
424.2627,82.2577
425.2270,81.8702
426.1912,81.8104
427.1554,81.9959
428.1197,82.3033
429.0839,82.6387
430.0481,82.9573
431.0124,83.2454
431.9766,83.5014
432.9408,83.7327
433.9051,83.9572
434.8693,84.1899
435.8335,84.4177
436.7978,84.5903
437.7620,84.65
438.7262,84.5844
439.6905,84.4567
440.6547,84.3894
441.6189,84.505
442.5832,84.8534
443.5474,85.3641
444.5116,85.8668
445.4759,86.1845
446.4401,86.233
447.4043,86.0562
448.3686,85.7884
449.3328,85.5832
450.2970,85.5443
451.2613,85.6795
452.2255,85.8967
453.1897,86.0478
454.1540,86.0037
455.1182,85.7234
456.0824,85.2848
457.0467,84.862
458.0109,84.6402
458.9751,84.7087
459.9394,85.0145
460.9036,85.4169
461.8678,85.7761
462.8321,86.005
463.7963,86.0732
464.7605,85.9915
465.7248,85.7939
466.6890,85.5224
467.6532,85.218
468.6175,84.9219
469.5817,84.6824
470.5459,84.5568
471.5102,84.5954
472.4744,84.8073
473.4386,85.1378
474.4029,85.49
475.3671,85.7798
476.3313,85.9784
477.2956,86.1102
478.2598,86.2169
479.2240,86.3147
480.1883,86.3778
481.1525,86.3595
482.1167,86.2413
483.0810,86.0685
484.0452,85.9383
485.0094,85.9393
485.9737,86.0874
486.9379,86.3116
487.9021,86.4996
488.8664,86.5653
489.8306,86.4939
490.7948,86.3438
491.7591,86.2105
492.7233,86.1749
493.6875,86.2663
494.6518,86.4583
495.6160,86.6888
496.5802,86.8878
