TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,87.4052
400.1569,88.6907
401.1211,89.7894
402.0854,90.6423
403.0496,91.2473
404.0138,91.5878
404.9781,91.6355
405.9423,91.4108
406.9065,91.0448
407.8708,90.7734
408.8350,90.8418
409.7992,91.3656
410.7635,92.2124
411.7277,92.9891
412.6919,93.2184
413.6562,92.6261
414.6204,91.3058
415.5846,89.6669
416.5489,88.2915
417.5131,87.7636
418.4773,88.3594
419.4416,89.6905
420.4058,90.8768
421.3700,91.3015
422.3343,90.9894
423.2985,90.334
424.2627,89.7397
425.2270,89.4461
426.1912,89.4903
427.1554,89.7567
428.1197,90.0795
429.0839,90.3354
430.0481,90.4787
431.0124,90.5296
431.9766,90.5464
432.9408,90.5992
433.9051,90.7439
434.8693,90.9897
435.8335,91.2744
436.7978,91.4792
437.7620,91.4936
438.7262,91.2936
439.6905,90.9727
440.6547,90.7052
441.6189,90.6634
442.5832,90.9238
443.5474,91.4096
444.5116,91.917
445.4759,92.2299
446.4401,92.243
447.4043,92.0071
448.3686,91.6838
449.3328,91.4578
450.2970,91.4493
451.2613,91.6573
452.2255,91.9566
453.1897,92.1565
454.1540,92.098
455.1182,91.7393
456.0824,91.1915
457.0467,90.6841
458.0109,90.4518
458.9751,90.5977
459.9394,91.0389
460.9036,91.5835
461.8678,92.049
462.8321,92.3303
463.7963,92.4048
464.7605,92.3081
465.7248,92.1005
466.6890,91.837
467.6532,91.5525
468.6175,91.27
469.5817,91.0217
470.5459,90.8634
471.5102,90.8591
472.4744,91.0382
473.4386,91.3577
474.4029,91.7155
475.3671,92.0123
476.3313,92.2066
477.2956,92.3207
478.2598,92.4024
479.2240,92.4769
480.1883,92.5227
481.1525,92.4923
482.1167,92.3619
483.0810,92.1725
484.0452,92.0207
485.0094,91.9986
485.9737,92.1279
486.9379,92.342
487.9021,92.5285
488.8664,92.5965
489.8306,92.5242
490.7948,92.3661
491.7591,92.22
492.7233,92.1749
493.6875,92.2668
494.6518,92.467
495.6160,92.7022
496.5802,92.8893
