TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,94.9407
400.1569,96.17
401.1211,96.8863
402.0854,97.1894
403.0496,97.2701
404.0138,97.259
404.9781,97.1886
405.9423,97.0414
406.9065,96.8387
407.8708,96.698
408.8350,96.7966
409.7992,97.249
410.7635,97.9683
411.7277,98.6203
412.6919,98.7677
413.6562,98.1462
414.6204,96.8378
415.5846,95.2362
416.5489,93.9122
417.5131,93.4372
418.4773,94.0635
419.4416,95.3709
420.4058,96.4642
421.3700,96.7414
422.3343,96.2578
423.2985,95.435
424.2627,94.7012
425.2270,94.3175
426.1912,94.339
427.1554,94.6597
428.1197,95.1098
429.0839,95.5466
430.0481,95.8925
431.0124,96.1304
431.9766,96.2861
432.9408,96.4125
433.9051,96.5651
434.8693,96.7634
435.8335,96.9582
436.7978,97.0418
437.7620,96.9167
438.7262,96.5778
439.6905,96.1449
440.6547,95.8214
441.6189,95.8027
442.5832,96.1723
443.5474,96.8382
444.5116,97.5624
445.4759,98.0875
446.4401,98.2747
447.4043,98.1555
448.3686,97.8856
449.3328,97.6556
450.2970,97.6017
451.2613,97.7458
452.2255,97.9823
453.1897,98.127
454.1540,98.0087
455.1182,97.5621
456.0824,96.883
457.0467,96.2147
458.0109,95.8424
458.9751,95.9329
459.9394,96.4421
460.9036,97.1685
461.8678,97.8812
462.8321,98.4117
463.7963,98.6798
464.7605,98.6845
465.7248,98.4784
466.6890,98.1355
467.6532,97.7227
468.6175,97.293
469.5817,96.8999
470.5459,96.6115
471.5102,96.498
472.4744,96.5872
473.4386,96.826
474.4029,97.0994
475.3671,97.301
476.3313,97.396
477.2956,97.4238
478.2598,97.4509
479.2240,97.5089
480.1883,97.5655
481.1525,97.5489
482.1167,97.4125
483.0810,97.1873
484.0452,96.9747
485.0094,96.8755
485.9737,96.9113
486.9379,97.0052
487.9021,97.0352
488.8664,96.9165
489.8306,96.6554
490.7948,96.3471
491.7591,96.1235
492.7233,96.0819
493.6875,96.2382
494.6518,96.5279
495.6160,96.8443
496.5802,97.0841
