TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,80.3671
400.1569,80.4613
401.1211,80.6066
402.0854,80.8245
403.0496,81.1355
404.0138,81.5419
404.9781,82.0136
405.9423,82.4863
406.9065,82.8791
407.8708,83.1246
408.8350,83.193
409.7992,83.0995
410.7635,82.9017
411.7277,82.6847
412.6919,82.5301
413.6562,82.4808
414.6204,82.5275
415.5846,82.6189
416.5489,82.6798
417.5131,82.64
418.4773,82.4858
419.4416,82.2961
420.4058,82.1804
421.3700,82.1805
422.3343,82.2675
423.2985,82.3951
424.2627,82.5313
425.2270,82.661
426.1912,82.7752
427.1554,82.8625
428.1197,82.9086
429.0839,82.9073
430.0481,82.8724
431.0124,82.84
431.9766,82.8546
432.9408,82.9449
433.9051,83.1037
434.8693,83.2879
435.8335,83.4409
436.7978,83.5267
437.7620,83.5508
438.7262,83.5556
439.6905,83.5954
440.6547,83.7102
441.6189,83.9051
442.5832,84.1413
443.5474,84.3471
444.5116,84.4516
445.4759,84.4252
446.4401,84.2933
447.4043,84.1167
448.3686,83.9554
449.3328,83.8403
450.2970,83.7666
451.2613,83.7101
452.2255,83.6548
453.1897,83.611
454.1540,83.6075
455.1182,83.6628
456.0824,83.7551
457.0467,83.8138
458.0109,83.7527
458.9751,83.5342
459.9394,83.2038
460.9036,82.8573
461.8678,82.5814
462.8321,82.4215
463.7963,82.3819
464.7605,82.4394
465.7248,82.5592
466.6890,82.7085
467.6532,82.8655
468.6175,83.0198
469.5817,83.167
470.5459,83.3012
471.5102,83.4099
472.4744,83.4771
473.4386,83.4921
474.4029,83.4577
475.3671,83.3901
476.3313,83.3093
477.2956,83.2305
478.2598,83.1604
479.2240,83.0993
480.1883,83.0487
481.1525,83.0183
482.1167,83.0252
483.0810,83.085
484.0452,83.1956
485.0094,83.33
485.9737,83.4462
486.9379,83.5106
487.9021,83.5184
488.8664,83.4956
489.8306,83.4855
490.7948,83.5268
491.7591,83.6312
492.7233,83.7745
493.6875,83.9094
494.6518,83.9926
495.6160,84.0088
496.5802,83.9755
