TITLE SAMPLE NAME:,Polyethylene Low Density (bags, packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,98.7227
400.1569,99.6684
401.1211,100.268
402.0854,100.552
403.0496,100.628
404.0138,100.606
404.9781,100.566
405.9423,100.548
406.9065,100.565
407.8708,100.619
408.8350,100.73
409.7992,100.926
410.7635,101.203
411.7277,101.48
412.6919,101.608
413.6562,101.431
414.6204,100.873
415.5846,99.9849
416.5489,98.962
417.5131,98.1393
418.4773,97.854
419.4416,98.163
420.4058,98.7386
421.3700,99.1774
422.3343,99.3142
423.2985,99.228
424.2627,99.1003
425.2270,99.0923
426.1912,99.2734
427.1554,99.6115
428.1197,100.014
429.0839,100.387
430.0481,100.666
431.0124,100.823
431.9766,100.861
432.9408,100.807
433.9051,100.712
434.8693,100.627
435.8335,100.582
436.7978,100.566
437.7620,100.535
438.7262,100.448
439.6905,100.299
440.6547,100.135
441.6189,100.038
442.5832,100.082
443.5474,100.29
444.5116,100.615
445.4759,100.961
446.4401,101.237
447.4043,101.392
448.3686,101.423
449.3328,101.364
450.2970,101.26
451.2613,101.15
452.2255,101.044
453.1897,100.928
454.1540,100.782
455.1182,100.612
456.0824,100.468
457.0467,100.437
458.0109,100.592
458.9751,100.932
459.9394,101.368
460.9036,101.776
461.8678,102.064
462.8321,102.202
463.7963,102.212
464.7605,102.143
465.7248,102.041
466.6890,101.922
467.6532,101.776
468.6175,101.593
469.5817,101.386
470.5459,101.21
471.5102,101.145
472.4744,101.252
473.4386,101.528
474.4029,101.901
475.3671,102.274
476.3313,102.578
477.2956,102.784
478.2598,102.893
479.2240,102.92
480.1883,102.879
481.1525,102.785
482.1167,102.673
483.0810,102.592
484.0452,102.589
485.0094,102.676
485.9737,102.809
486.9379,102.907
487.9021,102.899
488.8664,102.759
489.8306,102.528
490.7948,102.295
491.7591,102.157
492.7233,102.174
493.6875,102.338
494.6518,102.577
495.6160,102.789
496.5802,102.885
497.5445,102.821
498.5087,102.615
499.4729,102.33
500.4372,102.057
501.4014,101.873
502.3656,101.815
503.3299,101.862
504.2941,101.963
505.2583,102.068
506.2226,102.153
507.1868,102.221
508.1510,102.29
509.1153,102.371
510.0795,102.461
511.0437,102.538
512.0080,102.568
512.9722,102.523
513.9365,102.386
514.9007,102.169
515.8649,101.921
516.8292,101.722
517.7934,101.65
518.7576,101.737
519.7219,101.941
520.6861,102.168
521.6503,102.317
522.6146,102.339
523.5788,102.252
524.5430,102.133
525.5073,102.074
526.4715,102.135
527.4357,102.305
528.4000,102.517
529.3642,102.691
530.3284,102.778
531.2927,102.772
532.2569,102.704
533.2211,102.617
534.1854,102.544
535.1496,102.499
536.1138,102.48
537.0781,102.48
538.0423,102.493
539.0065,102.518
539.9708,102.552
540.9350,102.588
541.8992,102.613
542.8635,102.613
543.8277,102.582
544.7919,102.527
545.7562,102.467
546.7204,102.431
547.6846,102.441
548.6489,102.505
549.6131,102.618
550.5773,102.758
551.5416,102.906
552.5058,103.046
553.4700,103.172
554.4343,103.284
555.3985,103.383
556.3627,103.472
557.3270,103.55
558.2912,103.618
559.2554,103.676
560.2197,103.721
561.1839,103.749
562.1481,103.748
563.1124,103.705
564.0766,103.611
565.0408,103.47
566.0051,103.305
566.9693,103.154
567.9335,103.053
568.8978,103.021
569.8620,103.041
570.8262,103.072
571.7905,103.07
572.7547,103.008
573.7189,102.892
574.6832,102.752
575.6474,102.628
576.6116,102.548
577.5759,102.513
578.5401,102.509
579.5043,102.513
580.4686,102.514
581.4328,102.513
582.3970,102.52
583.3613,102.547
584.3255,102.595
585.2897,102.656
586.2540,102.709
587.2182,102.73
588.1824,102.703
589.1467,102.633
590.1109,102.545
591.0751,102.479
592.0394,102.466
593.0036,102.515
593.9678,102.601
594.9321,102.684
595.8963,102.726
596.8605,102.718
597.8248,102.678
598.7890,102.641
599.7532,102.637
600.7175,102.674
601.6817,102.737
602.6459,102.801
603.6102,102.844
604.5744,102.861
605.5386,102.861
606.5029,102.858
607.4671,102.866
608.4313,102.893
609.3956,102.938
610.3598,102.984
611.3240,103.001
612.2883,102.952
613.2525,102.808
614.2167,102.573
615.1810,102.292
616.1452,102.046
617.1094,101.921
618.0737,101.958
619.0379,102.133
620.0021,102.368
