TITLE SAMPLE NAME:,Polyethylene Low Density (bags, packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,100.539
400.1569,100.682
401.1211,100.876
402.0854,101.127
403.0496,101.403
404.0138,101.653
404.9781,101.83
405.9423,101.915
406.9065,101.924
407.8708,101.902
408.8350,101.891
409.7992,101.912
410.7635,101.961
411.7277,102.008
412.6919,102.011
413.6562,101.937
414.6204,101.766
415.5846,101.503
416.5489,101.189
417.5131,100.913
418.4773,100.782
419.4416,100.836
420.4058,100.994
421.3700,101.133
422.3343,101.187
423.2985,101.163
424.2627,101.103
425.2270,101.053
426.1912,101.037
427.1554,101.05
428.1197,101.071
429.0839,101.081
430.0481,101.074
431.0124,101.055
431.9766,101.039
432.9408,101.045
433.9051,101.091
434.8693,101.188
435.8335,101.329
436.7978,101.477
437.7620,101.582
438.7262,101.603
439.6905,101.534
440.6547,101.409
441.6189,101.294
442.5832,101.261
443.5474,101.352
444.5116,101.562
445.4759,101.838
446.4401,102.107
447.4043,102.31
448.3686,102.41
449.3328,102.406
450.2970,102.329
451.2613,102.227
452.2255,102.142
453.1897,102.091
454.1540,102.064
455.1182,102.036
456.0824,101.994
457.0467,101.957
458.0109,101.964
458.9751,102.047
459.9394,102.195
460.9036,102.371
461.8678,102.535
462.8321,102.671
463.7963,102.785
464.7605,102.891
465.7248,102.983
466.6890,103.029
467.6532,102.989
468.6175,102.838
469.5817,102.6
470.5459,102.347
471.5102,102.175
472.4744,102.155
473.4386,102.291
474.4029,102.516
475.3671,102.747
476.3313,102.924
477.2956,103.028
478.2598,103.067
479.2240,103.052
480.1883,102.989
481.1525,102.889
482.1167,102.773
483.0810,102.681
484.0452,102.648
485.0094,102.686
485.9737,102.764
486.9379,102.825
487.9021,102.821
488.8664,102.735
489.8306,102.589
490.7948,102.434
491.7591,102.321
492.7233,102.286
493.6875,102.333
494.6518,102.441
495.6160,102.577
496.5802,102.701
497.5445,102.781
498.5087,102.791
499.4729,102.722
500.4372,102.591
501.4014,102.433
502.3656,102.295
503.3299,102.209
504.2941,102.184
505.2583,102.205
506.2226,102.247
507.1868,102.289
508.1510,102.325
509.1153,102.356
510.0795,102.386
511.0437,102.411
512.0080,102.415
512.9722,102.379
513.9365,102.293
514.9007,102.161
515.8649,102.017
516.8292,101.909
517.7934,101.879
518.7576,101.941
519.7219,102.067
520.6861,102.203
521.6503,102.298
522.6146,102.328
523.5788,102.299
524.5430,102.246
525.5073,102.209
526.4715,102.219
527.4357,102.274
528.4000,102.352
529.3642,102.418
530.3284,102.452
531.2927,102.449
532.2569,102.423
533.2211,102.391
534.1854,102.365
535.1496,102.347
536.1138,102.33
537.0781,102.305
538.0423,102.274
539.0065,102.243
539.9708,102.22
540.9350,102.209
541.8992,102.207
542.8635,102.201
543.8277,102.184
544.7919,102.152
545.7562,102.113
546.7204,102.081
547.6846,102.071
548.6489,102.092
549.6131,102.146
550.5773,102.23
551.5416,102.33
552.5058,102.436
553.4700,102.537
554.4343,102.629
555.3985,102.713
556.3627,102.794
557.3270,102.875
558.2912,102.956
559.2554,103.032
560.2197,103.096
561.1839,103.142
562.1481,103.164
563.1124,103.156
564.0766,103.113
565.0408,103.034
566.0051,102.925
566.9693,102.805
567.9335,102.699
568.8978,102.625
569.8620,102.591
570.8262,102.583
571.7905,102.579
572.7547,102.56
573.7189,102.517
574.6832,102.451
575.6474,102.371
576.6116,102.286
577.5759,102.204
578.5401,102.129
579.5043,102.066
580.4686,102.023
581.4328,102.007
582.3970,102.023
583.3613,102.068
584.3255,102.132
585.2897,102.198
586.2540,102.25
587.2182,102.272
588.1824,102.257
589.1467,102.209
590.1109,102.144
591.0751,102.086
592.0394,102.057
593.0036,102.067
593.9678,102.106
594.9321,102.154
595.8963,102.191
596.8605,102.205
597.8248,102.198
598.7890,102.187
599.7532,102.186
600.7175,102.205
601.6817,102.24
602.6459,102.28
603.6102,102.311
604.5744,102.323
605.5386,102.316
606.5029,102.297
607.4671,102.283
608.4313,102.285
609.3956,102.309
610.3598,102.348
611.3240,102.384
612.2883,102.395
613.2525,102.369
614.2167,102.305
615.1810,102.222
616.1452,102.147
617.1094,102.109
618.0737,102.117
619.0379,102.165
620.0021,102.226
620.9664,102.276
