TITLE SAMPLE NAME:,Polypropylene (medicine containers-plastics caps-containers-makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,98.4902
401.1211,98.691
403.0496,98.9377
404.9781,99.1405
406.9065,99.2576
408.8350,99.2838
410.7635,99.2322
412.6919,99.1239
414.6204,98.9856
416.5489,98.8483
418.4773,98.7387
420.4058,98.6654
422.3343,98.6158
424.2627,98.5717
426.1912,98.5268
428.1197,98.4905
430.0481,98.4791
431.9766,98.5018
433.9051,98.5485
435.8335,98.5891
437.7620,98.5891
439.6905,98.5313
441.6189,98.426
443.5474,98.3009
445.4759,98.1765
447.4043,98.0487
449.3328,97.8932
451.2613,97.6901
453.1897,97.4502
455.1182,97.2279
457.0467,97.1059
458.9751,97.149
460.9036,97.3595
462.8321,97.6748
464.7605,98.006
466.6890,98.2805
468.6175,98.4642
470.5459,98.5644
472.4744,98.6173
474.4029,98.6636
476.3313,98.7256
478.2598,98.8003
480.1883,98.8703
482.1167,98.9195
484.0452,98.9443
485.9737,98.9544
487.9021,98.9656
489.8306,98.9877
491.7591,99.0172
493.6875,99.0383
495.6160,99.0327
497.5445,98.9902
499.4729,98.9164
501.4014,98.8313
503.3299,98.76
505.2583,98.7197
507.1868,98.7107
509.1153,98.7171
511.0437,98.7168
512.9722,98.6929
514.9007,98.6412
516.8292,98.5717
518.7576,98.5028
520.6861,98.4516
522.6146,98.4255
524.5430,98.4202
526.4715,98.4244
528.4000,98.4277
530.3284,98.4259
532.2569,98.4226
534.1854,98.4254
536.1138,98.4394
538.0423,98.4633
539.9708,98.4893
541.8992,98.5074
543.8277,98.5117
545.7562,98.5057
547.6846,98.5013
549.6131,98.5134
551.5416,98.5508
553.4700,98.6105
555.3985,98.6768
557.3270,98.7285
559.2554,98.7489
561.1839,98.7335
563.1124,98.6908
565.0408,98.6372
566.9693,98.5877
568.8978,98.5498
570.8262,98.5226
572.7547,98.5003
574.6832,98.4778
576.6116,98.4549
578.5401,98.4356
580.4686,98.4254
582.3970,98.4276
584.3255,98.4407
586.2540,98.4592
588.1824,98.4757
590.1109,98.4837
592.0394,98.4808
