TITLE SAMPLE NAME:,Polypropylene (medicine containers-plastics caps-containers-makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,98.2192
401.1211,98.3555
403.0496,98.5557
404.9781,98.7518
406.9065,98.9028
408.8350,98.9902
410.7635,99.0057
412.6919,98.9468
414.6204,98.8211
416.5489,98.6558
418.4773,98.4982
420.4058,98.3954
422.3343,98.3647
424.2627,98.3879
426.1912,98.4323
428.1197,98.4711
430.0481,98.4908
431.9766,98.4884
433.9051,98.4657
435.8335,98.4235
437.7620,98.3611
439.6905,98.2788
441.6189,98.1818
443.5474,98.0768
445.4759,97.9652
447.4043,97.8365
449.3328,97.6743
451.2613,97.471
453.1897,97.2458
455.1182,97.0513
457.0467,96.9577
458.9751,97.0121
460.9036,97.2044
462.8321,97.4723
464.7605,97.7408
466.6890,97.9597
468.6175,98.1174
470.5459,98.2338
472.4744,98.3393
474.4029,98.4521
476.3313,98.5681
478.2598,98.6696
480.1883,98.7409
482.1167,98.7778
484.0452,98.7884
485.9737,98.7876
487.9021,98.7889
489.8306,98.7995
491.7591,98.8189
493.6875,98.8401
495.6160,98.8537
497.5445,98.8508
499.4729,98.8269
501.4014,98.7852
503.3299,98.7355
505.2583,98.6897
507.1868,98.6544
509.1153,98.6269
511.0437,98.5973
512.9722,98.5551
514.9007,98.4972
516.8292,98.4301
518.7576,98.3675
520.6861,98.3216
522.6146,98.2969
524.5430,98.2884
526.4715,98.2877
528.4000,98.2887
530.3284,98.2914
532.2569,98.3001
534.1854,98.3184
536.1138,98.3461
538.0423,98.3772
539.9708,98.4031
541.8992,98.4166
543.8277,98.4164
545.7562,98.4089
547.6846,98.4069
549.6131,98.4247
551.5416,98.4711
553.4700,98.5434
555.3985,98.6267
557.3270,98.6987
559.2554,98.7395
561.1839,98.7404
563.1124,98.7071
565.0408,98.6545
566.9693,98.5984
568.8978,98.5485
570.8262,98.5066
572.7547,98.471
574.6832,98.4411
576.6116,98.4191
578.5401,98.4087
580.4686,98.4109
582.3970,98.4224
584.3255,98.4368
586.2540,98.4482
588.1824,98.4539
590.1109,98.4538
