TITLE SAMPLE NAME:,Polypropylene (medicine containers-plastics caps-containers-makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,87.6364
401.1211,88.3703
403.0496,89.2389
404.9781,90.0102
406.9065,90.5363
408.8350,90.7551
410.7635,90.6682
412.6919,90.3271
414.6204,89.8327
416.5489,89.3342
418.4773,88.9937
420.4058,88.9102
422.3343,89.0657
424.2627,89.3592
426.1912,89.6838
428.1197,89.9718
430.0481,90.1943
431.9766,90.3428
433.9051,90.4158
435.8335,90.4186
437.7620,90.3726
439.6905,90.3207
441.6189,90.3163
443.5474,90.3923
445.4759,90.5315
447.4043,90.6661
449.3328,90.715
451.2613,90.6358
453.1897,90.4611
455.1182,90.297
457.0467,90.2749
458.9751,90.4702
460.9036,90.8447
462.8321,91.2723
464.7605,91.6234
466.6890,91.8369
468.6175,91.9411
470.5459,92.0219
472.4744,92.1613
474.4029,92.3806
476.3313,92.6335
478.2598,92.8486
480.1883,92.9797
482.1167,93.0277
484.0452,93.0289
485.9737,93.0255
487.9021,93.0392
489.8306,93.0622
491.7591,93.0683
493.6875,93.0317
495.6160,92.9436
497.5445,92.818
499.4729,92.6877
501.4014,92.591
503.3299,92.552
505.2583,92.5651
507.1868,92.5945
509.1153,92.5927
511.0437,92.5271
512.9722,92.3984
514.9007,92.2417
516.8292,92.1086
518.7576,92.0408
520.6861,92.05
522.6146,92.1177
524.5430,92.2123
526.4715,92.3085
528.4000,92.3956
530.3284,92.4731
532.2569,92.5413
534.1854,92.5961
536.1138,92.6311
538.0423,92.6423
539.9708,92.6329
541.8992,92.6129
543.8277,92.5964
545.7562,92.5984
547.6846,92.6323
549.6131,92.7068
551.5416,92.8214
553.4700,92.9634
555.3985,93.108
557.3270,93.2255
559.2554,93.2926
561.1839,93.3009
563.1124,93.2586
565.0408,93.1837
566.9693,93.0929
568.8978,92.9956
570.8262,92.894
572.7547,92.7901
574.6832,92.6925
576.6116,92.6164
578.5401,92.576
580.4686,92.5743
582.3970,92.5972
584.3255,92.6189
586.2540,92.6151
588.1824,92.5766
590.1109,92.5131
592.0394,92.4456
