TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,97.3695
401.1211,97.9273
403.0496,98.5398
404.9781,99.0871
406.9065,99.5025
408.8350,99.7566
410.7635,99.8372
412.6919,99.7461
414.6204,99.5148
416.5489,99.2223
418.4773,98.9858
420.4058,98.9066
422.3343,99.0099
424.2627,99.2398
426.1912,99.5069
428.1197,99.7367
430.0481,99.8917
431.9766,99.9722
433.9051,100.003
435.8335,100.018
437.7620,100.039
439.6905,100.076
441.6189,100.129
443.5474,100.187
445.4759,100.229
447.4043,100.221
449.3328,100.128
451.2613,99.9384
453.1897,99.686
455.1182,99.4575
457.0467,99.3654
458.9751,99.4883
460.9036,99.8193
462.8321,100.268
464.7605,100.714
466.6890,101.07
468.6175,101.309
470.5459,101.459
472.4744,101.572
474.4029,101.688
476.3313,101.811
478.2598,101.922
480.1883,101.995
482.1167,102.02
484.0452,102.006
485.9737,101.976
487.9021,101.954
489.8306,101.958
491.7591,101.987
493.6875,102.022
495.6160,102.038
497.5445,102.011
499.4729,101.941
501.4014,101.847
503.3299,101.764
505.2583,101.72
507.1868,101.718
509.1153,101.733
511.0437,101.733
512.9722,101.694
514.9007,101.618
516.8292,101.529
518.7576,101.458
520.6861,101.432
522.6146,101.454
524.5430,101.514
526.4715,101.594
528.4000,101.679
530.3284,101.76
532.2569,101.835
534.1854,101.904
536.1138,101.963
538.0423,102.01
539.9708,102.044
541.8992,102.067
543.8277,102.088
545.7562,102.122
547.6846,102.183
549.6131,102.284
551.5416,102.422
553.4700,102.584
555.3985,102.743
557.3270,102.869
559.2554,102.938
561.1839,102.937
563.1124,102.873
565.0408,102.767
566.9693,102.642
568.8978,102.518
570.8262,102.405
572.7547,102.307
574.6832,102.223
576.6116,102.153
578.5401,102.105
580.4686,102.083
582.3970,102.084
584.3255,102.099
586.2540,102.114
588.1824,102.118
590.1109,102.113
592.0394,102.106
593.9678,102.106
595.8963,102.121
597.8248,102.15
599.7532,102.19
601.6817,102.236
603.6102,102.281
605.5386,102.312
607.4671,102.316
609.3956,102.28
