TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,98.2877
401.1211,98.6674
403.0496,99.1737
404.9781,99.6927
406.9065,100.135
408.8350,100.437
410.7635,100.557
412.6919,100.476
414.6204,100.222
416.5489,99.8844
418.4773,99.5957
420.4058,99.4691
422.3343,99.5317
424.2627,99.7254
426.1912,99.9626
428.1197,100.177
430.0481,100.341
431.9766,100.455
433.9051,100.533
435.8335,100.582
437.7620,100.609
439.6905,100.624
441.6189,100.648
443.5474,100.696
445.4759,100.757
447.4043,100.784
449.3328,100.717
451.2613,100.53
453.1897,100.262
455.1182,100.02
457.0467,99.9374
458.9751,100.092
460.9036,100.453
462.8321,100.901
464.7605,101.299
466.6890,101.568
468.6175,101.708
470.5459,101.777
472.4744,101.848
474.4029,101.959
476.3313,102.103
478.2598,102.246
480.1883,102.356
482.1167,102.419
484.0452,102.442
485.9737,102.444
487.9021,102.442
489.8306,102.448
491.7591,102.458
493.6875,102.46
495.6160,102.433
497.5445,102.367
499.4729,102.266
501.4014,102.154
503.3299,102.063
505.2583,102.017
507.1868,102.012
509.1153,102.024
511.0437,102.02
512.9722,101.982
514.9007,101.91
516.8292,101.827
518.7576,101.761
520.6861,101.732
522.6146,101.744
524.5430,101.788
526.4715,101.849
528.4000,101.917
530.3284,101.985
532.2569,102.052
534.1854,102.116
536.1138,102.174
538.0423,102.224
539.9708,102.26
541.8992,102.283
543.8277,102.299
545.7562,102.324
547.6846,102.375
549.6131,102.464
551.5416,102.595
553.4700,102.751
555.3985,102.907
557.3270,103.03
559.2554,103.098
561.1839,103.1
563.1124,103.046
565.0408,102.954
566.9693,102.844
568.8978,102.727
570.8262,102.61
572.7547,102.494
574.6832,102.386
576.6116,102.296
578.5401,102.237
580.4686,102.217
582.3970,102.231
584.3255,102.264
586.2540,102.296
588.1824,102.315
590.1109,102.319
592.0394,102.316
593.9678,102.315
595.8963,102.322
597.8248,102.336
599.7532,102.357
601.6817,102.384
603.6102,102.414
605.5386,102.436
607.4671,102.437
609.3956,102.4
611.3240,102.325
