TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,83.0142
401.1211,83.5795
403.0496,84.3041
404.9781,85.0499
406.9065,85.6919
408.8350,86.1324
410.7635,86.3034
412.6919,86.1801
414.6204,85.8093
416.5489,85.3322
418.4773,84.9541
420.4058,84.8426
422.3343,85.0285
424.2627,85.4092
426.1912,85.8357
428.1197,86.1942
430.0481,86.4383
431.9766,86.5833
433.9051,86.6808
435.8335,86.7867
437.7620,86.9382
439.6905,87.1509
441.6189,87.4262
443.5474,87.7534
445.4759,88.1017
447.4043,88.4173
449.3328,88.6413
451.2613,88.7431
453.1897,88.7484
455.1182,88.7409
457.0467,88.8226
458.9751,89.0466
460.9036,89.3717
462.8321,89.6839
464.7605,89.8721
466.6890,89.8965
468.6175,89.8099
470.5459,89.7239
472.4744,89.7383
474.4029,89.8782
476.3313,90.0856
478.2598,90.2678
480.1883,90.358
482.1167,90.3453
484.0452,90.2663
485.9737,90.1734
487.9021,90.1009
489.8306,90.0483
491.7591,89.9842
493.6875,89.8643
495.6160,89.6527
497.5445,89.3393
499.4729,88.9473
501.4014,88.5272
503.3299,88.1359
505.2583,87.8083
507.1868,87.5391
509.1153,87.287
511.0437,87.0005
512.9722,86.6471
514.9007,86.2306
516.8292,85.7869
518.7576,85.363
520.6861,84.9916
522.6146,84.6783
524.5430,84.4073
526.4715,84.1568
528.4000,83.9122
530.3284,83.6709
532.2569,83.4382
534.1854,83.2222
536.1138,83.0303
538.0423,82.8708
539.9708,82.7541
541.8992,82.6949
543.8277,82.7105
545.7562,82.8168
547.6846,83.0229
549.6131,83.3256
551.5416,83.7067
553.4700,84.135
555.3985,84.5727
557.3270,84.9855
559.2554,85.3521
561.1839,85.6683
563.1124,85.9454
565.0408,86.2022
566.9693,86.4555
568.8978,86.7138
570.8262,86.9767
572.7547,87.2411
574.6832,87.5083
576.6116,87.7858
578.5401,88.0835
580.4686,88.4034
582.3970,88.7327
584.3255,89.045
586.2540,89.3106
588.1824,89.5107
590.1109,89.6473
592.0394,89.7406
