TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,98.9069
401.1211,99.2598
403.0496,99.7294
404.9781,100.202
406.9065,100.592
408.8350,100.839
410.7635,100.903
412.6919,100.765
414.6204,100.45
416.5489,100.05
418.4773,99.7077
420.4058,99.5536
422.3343,99.6253
424.2627,99.8628
426.1912,100.165
428.1197,100.445
430.0481,100.658
431.9766,100.794
433.9051,100.867
435.8335,100.898
437.7620,100.913
439.6905,100.931
441.6189,100.97
443.5474,101.026
445.4759,101.07
447.4043,101.047
449.3328,100.904
451.2613,100.628
453.1897,100.273
455.1182,99.9533
457.0467,99.8052
458.9751,99.9116
460.9036,100.25
462.8321,100.706
464.7605,101.145
466.6890,101.48
468.6175,101.696
470.5459,101.836
472.4744,101.961
474.4029,102.11
476.3313,102.278
478.2598,102.431
480.1883,102.536
482.1167,102.575
484.0452,102.557
485.9737,102.511
487.9021,102.471
489.8306,102.459
491.7591,102.476
493.6875,102.5
495.6160,102.5
497.5445,102.452
499.4729,102.356
501.4014,102.241
503.3299,102.148
505.2583,102.107
507.1868,102.121
509.1153,102.16
511.0437,102.184
512.9722,102.164
514.9007,102.093
516.8292,101.993
518.7576,101.895
520.6861,101.827
522.6146,101.806
524.5430,101.83
526.4715,101.891
528.4000,101.973
530.3284,102.066
532.2569,102.161
534.1854,102.25
536.1138,102.328
538.0423,102.39
539.9708,102.432
541.8992,102.453
543.8277,102.459
545.7562,102.467
547.6846,102.497
549.6131,102.568
551.5416,102.686
553.4700,102.836
555.3985,102.991
557.3270,103.118
559.2554,103.189
561.1839,103.197
563.1124,103.147
565.0408,103.059
566.9693,102.95
568.8978,102.833
570.8262,102.716
572.7547,102.602
574.6832,102.496
576.6116,102.41
578.5401,102.353
580.4686,102.332
582.3970,102.341
584.3255,102.365
586.2540,102.385
588.1824,102.389
590.1109,102.377
592.0394,102.359
593.9678,102.347
595.8963,102.349
597.8248,102.366
599.7532,102.397
601.6817,102.436
603.6102,102.477
605.5386,102.508
607.4671,102.515
609.3956,102.484
611.3240,102.414
