TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,98.3751
401.1211,98.7807
403.0496,99.3041
404.9781,99.8256
406.9065,100.255
408.8350,100.533
410.7635,100.628
412.6919,100.528
414.6204,100.261
416.5489,99.9123
418.4773,99.6087
420.4058,99.4659
422.3343,99.5207
424.2627,99.7231
426.1912,99.9832
428.1197,100.221
430.0481,100.388
431.9766,100.474
433.9051,100.493
435.8335,100.479
437.7620,100.468
439.6905,100.489
441.6189,100.555
443.5474,100.651
445.4759,100.739
447.4043,100.759
449.3328,100.663
451.2613,100.44
453.1897,100.141
455.1182,99.8703
457.0467,99.7531
458.9751,99.8662
460.9036,100.189
462.8321,100.616
464.7605,101.022
466.6890,101.326
468.6175,101.518
470.5459,101.645
472.4744,101.769
474.4029,101.92
476.3313,102.085
478.2598,102.223
480.1883,102.302
482.1167,102.316
484.0452,102.284
485.9737,102.238
487.9021,102.205
489.8306,102.197
491.7591,102.208
493.6875,102.218
495.6160,102.204
497.5445,102.153
499.4729,102.065
501.4014,101.964
503.3299,101.883
505.2583,101.845
507.1868,101.849
509.1153,101.871
511.0437,101.873
512.9722,101.831
514.9007,101.743
516.8292,101.634
518.7576,101.537
520.6861,101.48
522.6146,101.474
524.5430,101.51
526.4715,101.573
528.4000,101.645
530.3284,101.718
532.2569,101.787
534.1854,101.849
536.1138,101.907
538.0423,101.959
539.9708,102.002
541.8992,102.037
543.8277,102.069
545.7562,102.107
547.6846,102.168
549.6131,102.264
551.5416,102.399
553.4700,102.557
555.3985,102.711
557.3270,102.831
559.2554,102.894
561.1839,102.894
563.1124,102.839
565.0408,102.75
566.9693,102.644
568.8978,102.534
570.8262,102.425
572.7547,102.319
574.6832,102.219
576.6116,102.134
578.5401,102.074
580.4686,102.046
582.3970,102.047
584.3255,102.064
586.2540,102.081
588.1824,102.087
590.1109,102.081
592.0394,102.071
593.9678,102.067
595.8963,102.077
597.8248,102.101
599.7532,102.135
601.6817,102.174
603.6102,102.211
605.5386,102.235
607.4671,102.234
609.3956,102.2
611.3240,102.133
