TITLE SAMPLE NAME:,Polypropylene (medicine containers-plastics caps-containers-makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,90.9023
401.1211,91.8345
403.0496,92.7795
404.9781,93.5663
406.9065,94.1067
408.8350,94.3645
410.7635,94.3347
412.6919,94.0487
414.6204,93.5951
416.5489,93.1265
418.4773,92.8156
420.4058,92.7627
422.3343,92.9385
424.2627,93.2296
426.1912,93.5271
428.1197,93.7728
430.0481,93.9524
431.9766,94.0718
433.9051,94.1407
435.8335,94.1704
437.7620,94.1811
439.6905,94.2048
441.6189,94.2716
443.5474,94.3838
445.4759,94.4986
447.4043,94.5421
449.3328,94.451
451.2613,94.2173
453.1897,93.9107
455.1182,93.6651
457.0467,93.6219
458.9751,93.8459
460.9036,94.278
462.8321,94.774
464.7605,95.1975
466.6890,95.4892
468.6175,95.678
470.5459,95.8427
472.4744,96.0493
474.4029,96.3039
476.3313,96.5552
478.2598,96.7401
480.1883,96.8287
482.1167,96.8378
484.0452,96.8133
485.9737,96.7995
487.9021,96.8148
489.8306,96.8467
491.7591,96.8643
493.6875,96.8377
495.6160,96.7529
497.5445,96.6183
499.4729,96.4623
501.4014,96.3229
503.3299,96.2289
505.2583,96.1836
507.1868,96.1609
509.1153,96.1207
511.0437,96.0318
512.9722,95.8911
514.9007,95.7249
516.8292,95.5745
518.7576,95.4739
520.6861,95.434
522.6146,95.4433
524.5430,95.4814
526.4715,95.5325
528.4000,95.5901
530.3284,95.6513
532.2569,95.7103
534.1854,95.7574
536.1138,95.7827
538.0423,95.7812
539.9708,95.756
541.8992,95.7174
543.8277,95.6803
545.7562,95.6613
547.6846,95.6758
549.6131,95.7339
551.5416,95.8352
553.4700,95.9664
555.3985,96.1036
557.3270,96.2195
559.2554,96.2931
561.1839,96.3156
563.1124,96.2902
565.0408,96.2276
566.9693,96.1395
568.8978,96.0355
570.8262,95.9229
572.7547,95.8103
574.6832,95.7092
576.6116,95.6324
578.5401,95.5892
580.4686,95.5788
582.3970,95.5881
584.3255,95.5969
586.2540,95.5874
588.1824,95.5534
590.1109,95.502
592.0394,95.4479
