TITLE SAMPLE NAME:,Polypropylene (medicine containers-plastics caps-containers-makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,95.6717
401.1211,95.7369
403.0496,95.8393
404.9781,95.9109
406.9065,95.9249
408.8350,95.8744
410.7635,95.7511
412.6919,95.5424
414.6204,95.2453
416.5489,94.8906
418.4773,94.5507
420.4058,94.3108
422.3343,94.2188
424.2627,94.2653
426.1912,94.404
428.1197,94.5801
430.0481,94.7413
431.9766,94.8389
433.9051,94.8332
435.8335,94.7075
437.7620,94.4804
439.6905,94.2037
441.6189,93.939
443.5474,93.7253
445.4759,93.5562
447.4043,93.3859
449.3328,93.1625
451.2613,92.8673
453.1897,92.5367
455.1182,92.2535
457.0467,92.1067
458.9751,92.135
460.9036,92.298
462.8321,92.5054
464.7605,92.6782
466.6890,92.7921
468.6175,92.8783
470.5459,92.9924
472.4744,93.1707
474.4029,93.4039
476.3313,93.6449
478.2598,93.8412
480.1883,93.9612
482.1167,94.0007
484.0452,93.975
485.9737,93.9089
487.9021,93.8284
489.8306,93.7564
491.7591,93.7074
493.6875,93.6829
495.6160,93.6717
497.5445,93.6557
499.4729,93.6219
501.4014,93.5722
503.3299,93.5238
505.2583,93.497
507.1868,93.4999
509.1153,93.5205
511.0437,93.534
512.9722,93.5172
514.9007,93.4634
516.8292,93.3862
518.7576,93.3111
520.6861,93.2606
522.6146,93.2409
524.5430,93.2421
526.4715,93.2473
528.4000,93.2454
530.3284,93.237
532.2569,93.2316
534.1854,93.2387
536.1138,93.2601
538.0423,93.2884
539.9708,93.3125
541.8992,93.3265
543.8277,93.3349
545.7562,93.3518
547.6846,93.3918
549.6131,93.4612
551.5416,93.5522
553.4700,93.6453
555.3985,93.7177
557.3270,93.7527
559.2554,93.7464
561.1839,93.707
563.1124,93.6506
565.0408,93.5935
566.9693,93.5469
568.8978,93.5145
570.8262,93.4944
572.7547,93.4823
574.6832,93.476
576.6116,93.4757
578.5401,93.4826
580.4686,93.4953
582.3970,93.5094
584.3255,93.5188
586.2540,93.5198
588.1824,93.5141
590.1109,93.507
592.0394,93.5041
