TITLE SAMPLE NAME:,Polypropylene (medicine containers-plastics caps-containers-makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,94.8592
401.1211,95.604
403.0496,96.3776
404.9781,97.0008
406.9065,97.388
408.8350,97.5214
410.7635,97.4209
412.6919,97.132
414.6204,96.7307
416.5489,96.3289
418.4773,96.0501
420.4058,95.9706
422.3343,96.0754
424.2627,96.2826
426.1912,96.5047
428.1197,96.6852
430.0481,96.8013
431.9766,96.8517
433.9051,96.8462
435.8335,96.8006
437.7620,96.7347
439.6905,96.6707
441.6189,96.6257
443.5474,96.6
445.4759,96.5688
447.4043,96.4903
449.3328,96.3289
451.2613,96.0831
453.1897,95.8034
455.1182,95.5857
457.0467,95.5324
458.9751,95.691
460.9036,96.0158
462.8321,96.3962
464.7605,96.7263
466.6890,96.9591
468.6175,97.1174
470.5459,97.2653
472.4744,97.4584
474.4029,97.7034
476.3313,97.9572
478.2598,98.1614
480.1883,98.2804
482.1167,98.3175
484.0452,98.3059
485.9737,98.2868
487.9021,98.2883
489.8306,98.314
491.7591,98.346
493.6875,98.3572
495.6160,98.3262
497.5445,98.2494
499.4729,98.1455
501.4014,98.0484
503.3299,97.9895
505.2583,97.9763
507.1868,97.985
509.1153,97.9729
511.0437,97.9046
512.9722,97.7754
514.9007,97.6161
516.8292,97.4782
518.7576,97.4062
520.6861,97.4147
522.6146,97.4845
524.5430,97.58
526.4715,97.6711
528.4000,97.7451
530.3284,97.8045
532.2569,97.8563
534.1854,97.9021
536.1138,97.937
538.0423,97.9529
539.9708,97.945
541.8992,97.9159
543.8277,97.8769
545.7562,97.8455
547.6846,97.8415
549.6131,97.8798
551.5416,97.9646
553.4700,98.0845
555.3985,98.2148
557.3270,98.3259
559.2554,98.3938
561.1839,98.4086
563.1124,98.3745
565.0408,98.3042
566.9693,98.2114
568.8978,98.1059
570.8262,97.9951
572.7547,97.8873
574.6832,97.7942
576.6116,97.7288
578.5401,97.6992
580.4686,97.7028
582.3970,97.7251
584.3255,97.7457
586.2540,97.7487
588.1824,97.7297
590.1109,97.6962
592.0394,97.6614
