TITLE SAMPLE NAME:,Polypropylene (medicine containers-plastics caps-containers-makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,99.5642
401.1211,99.665
403.0496,99.7436
404.9781,99.7826
406.9065,99.7863
408.8350,99.764
410.7635,99.7196
412.6919,99.6527
414.6204,99.5661
416.5489,99.4733
418.4773,99.3966
420.4058,99.3522
422.3343,99.3364
424.2627,99.3304
426.1912,99.3162
428.1197,99.287
430.0481,99.2481
431.9766,99.2104
433.9051,99.1812
435.8335,99.1567
437.7620,99.1223
439.6905,99.0614
441.6189,98.9667
443.5474,98.8436
445.4759,98.7028
447.4043,98.5476
449.3328,98.3689
451.2613,98.1552
453.1897,97.9112
455.1182,97.6743
457.0467,97.5111
458.9751,97.4858
460.9036,97.6181
462.8321,97.8692
464.7605,98.1665
466.6890,98.4392
468.6175,98.6433
470.5459,98.7706
472.4744,98.8437
474.4029,98.8979
476.3313,98.9585
478.2598,99.0299
480.1883,99.0998
482.1167,99.1519
484.0452,99.1763
485.9737,99.1748
487.9021,99.1582
489.8306,99.1395
491.7591,99.1268
493.6875,99.1199
495.6160,99.1122
497.5445,99.0963
499.4729,99.0685
501.4014,99.032
503.3299,98.9954
505.2583,98.9674
507.1868,98.9519
509.1153,98.9449
511.0437,98.9377
512.9722,98.9209
514.9007,98.889
516.8292,98.8425
518.7576,98.7871
520.6861,98.7305
522.6146,98.6791
524.5430,98.6365
526.4715,98.6048
528.4000,98.5856
530.3284,98.5811
532.2569,98.5925
534.1854,98.6189
536.1138,98.6562
538.0423,98.6975
539.9708,98.7357
541.8992,98.7651
543.8277,98.784
545.7562,98.795
547.6846,98.8041
549.6131,98.8184
551.5416,98.8431
553.4700,98.8785
555.3985,98.9188
557.3270,98.9531
559.2554,98.97
561.1839,98.9629
563.1124,98.9334
565.0408,98.8912
566.9693,98.8494
568.8978,98.819
570.8262,98.8044
572.7547,98.8031
574.6832,98.8091
576.6116,98.8165
578.5401,98.8226
580.4686,98.8277
582.3970,98.8333
584.3255,98.8404
586.2540,98.8477
588.1824,98.8523
590.1109,98.8516
592.0394,98.8444
