TITLE SAMPLE NAME:,Polyethylene Low Density (bags, packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,82.8407
401.1211,83.7206
403.0496,84.7426
404.9781,85.7791
406.9065,86.7197
408.8350,87.4619
410.7635,87.9141
412.6919,88.0288
414.6204,87.856
416.5489,87.5777
418.4773,87.4503
420.4058,87.6445
422.3343,88.1205
424.2627,88.6824
426.1912,89.1364
428.1197,89.3986
430.0481,89.5111
431.9766,89.597
433.9051,89.7834
435.8335,90.1239
437.7620,90.5708
439.6905,91.0202
441.6189,91.3947
443.5474,91.6946
445.4759,91.9841
447.4043,92.3314
449.3328,92.7574
451.2613,93.2292
453.1897,93.6881
455.1182,94.0855
457.0467,94.4074
458.9751,94.679
460.9036,94.9463
462.8321,95.247
464.7605,95.5906
466.6890,95.956
468.6175,96.3036
470.5459,96.5961
472.4744,96.8219
474.4029,97.0054
476.3313,97.1942
478.2598,97.4302
480.1883,97.7284
482.1167,98.0754
484.0452,98.4406
485.9737,98.7916
487.9021,99.1011
489.8306,99.3451
491.7591,99.4994
493.6875,99.5453
495.6160,99.4847
497.5445,99.3548
499.4729,99.2263
501.4014,99.1778
503.3299,99.2526
505.2583,99.4277
507.1868,99.6203
509.1153,99.7323
511.0437,99.7035
512.9722,99.5421
514.9007,99.319
516.8292,99.1291
518.7576,99.0431
520.6861,99.075
522.6146,99.1854
524.5430,99.313
526.4715,99.4089
528.4000,99.4543
530.3284,99.4566
532.2569,99.4355
534.1854,99.4087
536.1138,99.3855
538.0423,99.367
539.9708,99.3503
541.8992,99.3336
543.8277,99.3219
545.7562,99.3292
547.6846,99.3766
549.6131,99.485
551.5416,99.6642
553.4700,99.9053
555.3985,100.18
557.3270,100.45
559.2554,100.677
561.1839,100.836
563.1124,100.92
565.0408,100.938
566.9693,100.902
568.8978,100.827
570.8262,100.723
572.7547,100.599
574.6832,100.474
576.6116,100.368
578.5401,100.304
580.4686,100.293
582.3970,100.328
584.3255,100.383
586.2540,100.43
588.1824,100.455
590.1109,100.466
592.0394,100.487
593.9678,100.542
595.8963,100.633
597.8248,100.745
599.7532,100.846
601.6817,100.912
603.6102,100.931
605.5386,100.902
607.4671,100.834
609.3956,100.74
611.3240,100.636
613.2525,100.543
615.1810,100.486
617.1094,100.481
619.0379,100.525
620.9664,100.597
622.8948,100.669
624.8233,100.716
626.7518,100.731
628.6802,100.72
630.6087,100.689
632.5372,100.64
634.4656,100.565
636.3941,100.459
638.3226,100.324
640.2510,100.177
642.1795,100.041
644.1080,99.935
646.0364,99.8599
647.9649,99.8032
649.8934,99.7495
651.8218,99.6953
653.7503,99.6523
655.6788,99.6342
657.6072,99.638
659.5357,99.635
661.4642,99.5796
663.3926,99.4305
665.3211,99.18
667.2496,98.8846
669.1780,98.6555
671.1065,98.5805
673.0350,98.6522
674.9634,98.7925
676.8919,98.9229
678.8204,99.0027
680.7488,99.0289
682.6773,99.0188
684.6058,98.9913
686.5342,98.9577
688.4627,98.9247
690.3912,98.8954
692.3196,98.8615
694.2481,98.7952
696.1766,98.6567
698.1050,98.4161
700.0335,98.0618
701.9620,97.565
703.8904,96.8149
705.8189,95.5825
707.7474,93.5872
709.6758,90.6731
711.6043,87.0067
713.5328,83.1594
715.4612,79.977
717.3897,78.2477
719.3182,78.3183
721.2466,79.9063
723.1751,82.2719
725.1036,84.6528
727.0320,86.6531
728.9605,88.3356
730.8890,90.0123
732.8174,91.9278
734.7459,94.0565
736.6744,96.1262
738.6028,97.8128
740.5313,98.9419
742.4598,99.5591
744.3882,99.8521
746.3167,100.015
748.2452,100.157
750.1736,100.298
752.1021,100.418
754.0306,100.505
755.9590,100.566
757.8875,100.614
759.8160,100.653
761.7444,100.676
763.6729,100.677
765.6014,100.665
767.5298,100.651
769.4583,100.651
771.3868,100.672
773.3152,100.714
775.2437,100.776
777.1722,100.855
779.1006,100.947
781.0291,101.045
782.9576,101.142
784.8860,101.235
786.8145,101.32
788.7430,101.397
790.6714,101.465
792.5999,101.523
794.5284,101.571
796.4568,101.613
798.3853,101.656
800.3138,101.703
802.2422,101.757
804.1707,101.816
806.0992,101.881
808.0276,101.948
809.9561,102.018
811.8846,102.09
813.8130,102.163
815.7415,102.235
817.6700,102.305
