TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,100.74
400.1569,100.753
401.1211,100.742
402.0854,100.691
403.0496,100.618
404.0138,100.546
404.9781,100.487
405.9423,100.438
406.9065,100.393
407.8708,100.355
408.8350,100.345
409.7992,100.39
410.7635,100.501
411.7277,100.664
412.6919,100.836
413.6562,100.97
414.6204,101.037
415.5846,101.027
416.5489,100.946
417.5131,100.808
418.4773,100.652
419.4416,100.529
420.4058,100.471
421.3700,100.471
422.3343,100.496
423.2985,100.507
424.2627,100.473
425.2270,100.385
426.1912,100.261
427.1554,100.14
428.1197,100.061
429.0839,100.043
430.0481,100.075
431.0124,100.124
431.9766,100.162
432.9408,100.179
433.9051,100.191
434.8693,100.221
435.8335,100.275
436.7978,100.338
437.7620,100.386
438.7262,100.411
439.6905,100.429
440.6547,100.47
441.6189,100.551
442.5832,100.662
443.5474,100.767
444.5116,100.83
445.4759,100.845
446.4401,100.836
447.4043,100.841
448.3686,100.881
449.3328,100.948
450.2970,101.013
451.2613,101.036
452.2255,100.992
453.1897,100.882
454.1540,100.73
455.1182,100.584
456.0824,100.496
457.0467,100.513
458.0109,100.64
458.9751,100.837
459.9394,101.034
460.9036,101.179
461.8678,101.26
462.8321,101.303
463.7963,101.342
464.7605,101.398
465.7248,101.464
466.6890,101.508
467.6532,101.496
468.6175,101.412
469.5817,101.274
470.5459,101.122
471.5102,101.006
472.4744,100.959
473.4386,100.984
474.4029,101.053
475.3671,101.127
476.3313,101.169
477.2956,101.16
478.2598,101.096
479.2240,100.988
480.1883,100.857
481.1525,100.727
482.1167,100.612
483.0810,100.512
484.0452,100.419
485.0094,100.32
485.9737,100.213
486.9379,100.108
487.9021,100.018
488.8664,99.9536
489.8306,99.9154
490.7948,99.8927
491.7591,99.8683
492.7233,99.8259
493.6875,99.7558
494.6518,99.6573
495.6160,99.5361
496.5802,99.4013
497.5445,99.2624
498.5087,99.1276
499.4729,99.0019
500.4372,98.8851
501.4014,98.7693
502.3656,98.6417
503.3299,98.4913
504.2941,98.3172
