TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,95.7626
400.1569,96.1838
401.1211,96.7494
402.0854,97.2942
403.0496,97.7396
404.0138,98.0805
404.9781,98.3491
405.9423,98.5766
406.9065,98.7649
407.8708,98.8849
408.8350,98.9036
409.7992,98.8208
410.7635,98.6868
411.7277,98.5793
412.6919,98.5501
413.6562,98.5807
414.6204,98.5833
415.5846,98.4376
416.5489,98.0514
417.5131,97.4416
418.4773,96.7973
419.4416,96.4002
420.4058,96.4017
421.3700,96.7266
422.3343,97.1987
423.2985,97.6761
424.2627,98.0873
425.2270,98.4119
426.1912,98.6526
427.1554,98.8157
428.1197,98.903
429.0839,98.9135
430.0481,98.8483
431.0124,98.7143
431.9766,98.5266
432.9408,98.3104
433.9051,98.1024
434.8693,97.9476
435.8335,97.8848
436.7978,97.9263
437.7620,98.046
438.7262,98.1881
439.6905,98.2927
440.6547,98.3224
441.6189,98.276
442.5832,98.1834
443.5474,98.0864
444.5116,98.0157
445.4759,97.9807
446.4401,97.9729
447.4043,97.9744
448.3686,97.9626
449.3328,97.911
450.2970,97.7945
451.2613,97.5996
452.2255,97.3342
453.1897,97.0285
454.1540,96.7265
455.1182,96.4761
456.0824,96.3209
457.0467,96.2916
458.0109,96.3916
458.9751,96.5891
459.9394,96.8302
460.9036,97.0664
461.8678,97.2734
462.8321,97.4521
463.7963,97.6185
464.7605,97.7901
465.7248,97.9734
466.6890,98.1584
467.6532,98.3248
468.6175,98.4561
469.5817,98.5526
470.5459,98.6343
471.5102,98.7308
472.4744,98.8615
473.4386,99.0183
474.4029,99.1682
475.3671,99.2723
476.3313,99.3068
477.2956,99.2714
478.2598,99.1857
479.2240,99.0802
480.1883,98.9862
481.1525,98.9283
482.1167,98.92
483.0810,98.9629
484.0452,99.046
485.0094,99.1484
485.9737,99.247
486.9379,99.3263
487.9021,99.3844
488.8664,99.4302
489.8306,99.4761
490.7948,99.5292
491.7591,99.5869
492.7233,99.6379
493.6875,99.6693
494.6518,99.6718
495.6160,99.6422
496.5802,99.5822
