TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,81.2794
400.1569,82.4831
401.1211,83.4998
402.0854,84.2594
403.0496,84.7727
404.0138,85.0952
404.9781,85.306
405.9423,85.4884
406.9065,85.7054
407.8708,85.9816
408.8350,86.3035
409.7992,86.6283
410.7635,86.8921
411.7277,87.0215
412.6919,86.9555
413.6562,86.6715
414.6204,86.2002
415.5846,85.631
416.5489,85.1202
417.5131,84.8763
418.4773,85.0518
419.4416,85.571
420.4058,86.1499
421.3700,86.5554
422.3343,86.7564
423.2985,86.8531
424.2627,86.96
425.2270,87.1315
426.1912,87.3408
427.1554,87.5099
428.1197,87.568
429.0839,87.4954
430.0481,87.3288
431.0124,87.1347
431.9766,86.9762
432.9408,86.89
433.9051,86.8859
434.8693,86.9575
435.8335,87.093
436.7978,87.278
437.7620,87.4945
438.7262,87.7224
439.6905,87.9442
440.6547,88.147
441.6189,88.3236
442.5832,88.4743
443.5474,88.6096
444.5116,88.7513
445.4759,88.9257
446.4401,89.1501
447.4043,89.4216
448.3686,89.7136
449.3328,89.982
450.2970,90.1786
451.2613,90.2677
452.2255,90.2382
453.1897,90.1065
454.1540,89.9118
455.1182,89.7105
456.0824,89.5701
457.0467,89.5532
458.0109,89.6868
458.9751,89.938
459.9394,90.2281
460.9036,90.4789
461.8678,90.6479
462.8321,90.7309
463.7963,90.7451
464.7605,90.7105
465.7248,90.6397
466.6890,90.5382
467.6532,90.4132
468.6175,90.2831
469.5817,90.1795
470.5459,90.1392
471.5102,90.1875
472.4744,90.3217
473.4386,90.5086
474.4029,90.7031
475.3671,90.8726
476.3313,91.0054
477.2956,91.1038
478.2598,91.1701
479.2240,91.2004
480.1883,91.1875
481.1525,91.1304
482.1167,91.0445
483.0810,90.9605
484.0452,90.9123
485.0094,90.9163
485.9737,90.9588
486.9379,91.0024
487.9021,91.0063
488.8664,90.947
489.8306,90.8296
490.7948,90.6851
491.7591,90.5567
492.7233,90.48
493.6875,90.4655
494.6518,90.494
495.6160,90.5243
496.5802,90.5098
