TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,92.4608
400.1569,93.3991
401.1211,94.3391
402.0854,95.1678
403.0496,95.8657
404.0138,96.4493
404.9781,96.9278
405.9423,97.2868
406.9065,97.498
407.8708,97.5461
408.8350,97.4535
409.7992,97.2824
410.7635,97.1088
411.7277,96.9795
412.6919,96.8795
413.6562,96.7382
414.6204,96.4706
415.5846,96.0276
416.5489,95.4428
417.5131,94.8662
418.4773,94.5287
419.4416,94.5754
420.4058,94.9219
421.3700,95.3485
422.3343,95.6926
423.2985,95.9124
424.2627,96.0445
425.2270,96.146
426.1912,96.2553
427.1554,96.3789
428.1197,96.4996
429.0839,96.594
430.0481,96.6445
431.0124,96.6437
431.9766,96.5995
432.9408,96.5399
433.9051,96.5111
434.8693,96.5592
435.8335,96.6992
436.7978,96.8934
437.7620,97.0599
438.7262,97.1129
439.6905,97.0071
440.6547,96.7602
441.6189,96.4462
442.5832,96.1639
443.5474,95.995
444.5116,95.973
445.4759,96.0789
446.4401,96.2603
447.4043,96.4545
448.3686,96.6027
449.3328,96.6598
450.2970,96.6031
451.2613,96.4371
452.2255,96.1863
453.1897,95.8786
454.1540,95.5317
455.1182,95.158
456.0824,94.7854
457.0467,94.4765
458.0109,94.3178
458.9751,94.3708
459.9394,94.6266
460.9036,95.014
461.8678,95.4469
462.8321,95.8653
463.7963,96.247
464.7605,96.5933
465.7248,96.9043
466.6890,97.1596
467.6532,97.3218
468.6175,97.3599
469.5817,97.279
470.5459,97.1344
471.5102,97.0175
472.4744,97.01
473.4386,97.1339
474.4029,97.3422
475.3671,97.5593
476.3313,97.7317
477.2956,97.8487
478.2598,97.929
479.2240,97.9907
480.1883,98.0324
481.1525,98.0344
482.1167,97.9815
483.0810,97.8846
484.0452,97.7831
485.0094,97.7231
485.9737,97.7267
486.9379,97.7789
487.9021,97.842
488.8664,97.8817
489.8306,97.8864
490.7948,97.8705
491.7591,97.8628
492.7233,97.8874
493.6875,97.9502
494.6518,98.0365
495.6160,98.1186
496.5802,98.1678
