TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,88.0142
401.1211,87.7483
403.0496,87.5417
404.9781,87.4792
406.9065,87.59
408.8350,87.8362
410.7635,88.1268
412.6919,88.3507
414.6204,88.4172
416.5489,88.2947
418.4773,88.0322
420.4058,87.7468
422.3343,87.5718
424.2627,87.6056
426.1912,87.89
428.1197,88.4123
430.0481,89.1088
431.9766,89.874
433.9051,90.5911
435.8335,91.1854
437.7620,91.6666
439.6905,92.1205
441.6189,92.6465
443.5474,93.2815
445.4759,93.9655
447.4043,94.574
449.3328,94.9936
451.2613,95.1885
453.1897,95.2232
455.1182,95.2353
457.0467,95.3652
458.9751,95.6685
460.9036,96.0721
462.8321,96.4199
464.7605,96.575
466.6890,96.503
468.6175,96.2882
470.5459,96.0797
472.4744,95.9941
474.4029,96.0395
476.3313,96.1212
478.2598,96.121
480.1883,95.9799
482.1167,95.7261
484.0452,95.4439
485.9737,95.2162
487.9021,95.0824
489.8306,95.0329
491.7591,95.0351
493.6875,95.0607
495.6160,95.095
497.5445,95.1303
499.4729,95.1547
501.4014,95.1518
503.3299,95.1097
505.2583,95.03
507.1868,94.9282
509.1153,94.8229
511.0437,94.725
512.9722,94.6327
514.9007,94.5374
516.8292,94.4332
518.7576,94.325
520.6861,94.2268
522.6146,94.1528
524.5430,94.1072
526.4715,94.0796
528.4000,94.0499
530.3284,93.9975
532.2569,93.9102
534.1854,93.7871
536.1138,93.6362
538.0423,93.4683
539.9708,93.2942
541.8992,93.1236
543.8277,92.9676
545.7562,92.8393
547.6846,92.7512
549.6131,92.711
551.5416,92.715
553.4700,92.7449
555.3985,92.7696
557.3270,92.754
559.2554,92.6708
561.1839,92.5103
563.1124,92.2822
565.0408,92.0084
566.9693,91.7105
568.8978,91.4018
570.8262,91.0851
572.7547,90.7588
574.6832,90.4232
576.6116,90.0828
578.5401,89.7425
580.4686,89.4013
582.3970,89.0496
584.3255,88.6728
586.2540,88.2555
588.1824,87.7845
590.1109,87.2448
592.0394,86.6137
593.9678,85.8608
