TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,92.2279
400.1569,92.8249
401.1211,93.4298
402.0854,93.892
403.0496,94.163
404.0138,94.277
404.9781,94.3168
405.9423,94.3707
406.9065,94.4868
407.8708,94.6518
408.8350,94.8078
409.7992,94.8926
410.7635,94.8721
411.7277,94.7434
412.6919,94.5123
413.6562,94.1695
414.6204,93.6887
415.5846,93.0527
416.5489,92.3038
417.5131,91.5981
418.4773,91.1836
419.4416,91.2132
420.4058,91.5717
421.3700,91.9969
422.3343,92.31
423.2985,92.4794
424.2627,92.5623
425.2270,92.6338
426.1912,92.7396
427.1554,92.8798
428.1197,93.0235
429.0839,93.1365
430.0481,93.1989
431.0124,93.2089
431.9766,93.1804
432.9408,93.1411
433.9051,93.1305
434.8693,93.1895
435.8335,93.3398
436.7978,93.5641
437.7620,93.8069
438.7262,94.0006
439.6905,94.1002
440.6547,94.1061
441.6189,94.0666
442.5832,94.0578
443.5474,94.1468
444.5116,94.3557
445.4759,94.652
446.4401,94.97
447.4043,95.244
448.3686,95.4337
449.3328,95.5342
450.2970,95.5712
451.2613,95.5827
452.2255,95.5953
453.1897,95.6078
454.1540,95.595
455.1182,95.5298
456.0824,95.412
457.0467,95.2864
458.0109,95.2295
458.9751,95.3009
459.9394,95.5002
460.9036,95.772
461.8678,96.0479
462.8321,96.2799
463.7963,96.4494
464.7605,96.5569
465.7248,96.6049
466.6890,96.5839
467.6532,96.472
468.6175,96.2518
469.5817,95.9355
470.5459,95.5854
471.5102,95.309
472.4744,95.2164
473.4386,95.3557
474.4029,95.6795
475.3671,96.074
476.3313,96.4204
477.2956,96.641
478.2598,96.7131
479.2240,96.659
480.1883,96.5248
481.1525,96.3599
482.1167,96.2065
483.0810,96.0976
484.0452,96.0542
485.0094,96.078
485.9737,96.1452
486.9379,96.2138
487.9021,96.242
488.8664,96.2087
489.8306,96.1236
490.7948,96.0236
491.7591,95.9547
492.7233,95.9473
493.6875,95.9995
494.6518,96.0785
495.6160,96.1375
496.5802,96.1364
497.5445,96.0546
