TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,82.5378
400.1569,84.3048
401.1211,85.6363
402.0854,86.5359
403.0496,87.0965
404.0138,87.4268
404.9781,87.6209
405.9423,87.7481
406.9065,87.85
407.8708,87.9442
408.8350,88.0286
409.7992,88.0813
410.7635,88.0561
411.7277,87.8865
412.6919,87.5061
413.6562,86.8741
414.6204,85.9855
415.5846,84.8731
416.5489,83.6211
417.5131,82.3855
418.4773,81.3578
419.4416,80.6251
420.4058,80.075
421.3700,79.5163
422.3343,78.8604
423.2985,78.1698
424.2627,77.6043
425.2270,77.3314
426.1912,77.4377
427.1554,77.8843
428.1197,78.535
429.0839,79.2239
430.0481,79.8081
431.0124,80.1829
431.9766,80.2762
432.9408,80.0423
433.9051,79.4641
434.8693,78.5593
435.8335,77.3829
436.7978,76.0166
437.7620,74.5534
438.7262,73.09
439.6905,71.7366
440.6547,70.6267
441.6189,69.8953
442.5832,69.6119
443.5474,69.7027
444.5116,69.9406
445.4759,70.0417
446.4401,69.8114
447.4043,69.2359
448.3686,68.4786
449.3328,67.8011
450.2970,67.4512
451.2613,67.5627
452.2255,68.1144
453.1897,68.9704
454.1540,69.9643
455.1182,70.9659
456.0824,71.8923
457.0467,72.6768
458.0109,73.2352
458.9751,73.4764
459.9394,73.3525
460.9036,72.9012
461.8678,72.2476
462.8321,71.5809
463.7963,71.1197
464.7605,71.0584
465.7248,71.4976
466.6890,72.4021
467.6532,73.6259
468.6175,74.9951
469.5817,76.3891
470.5459,77.7723
471.5102,79.1699
472.4744,80.6063
473.4386,82.051
474.4029,83.4177
475.3671,84.6115
476.3313,85.5792
477.2956,86.3254
478.2598,86.8971
479.2240,87.3548
480.1883,87.7476
481.1525,88.1042
482.1167,88.4383
483.0810,88.7596
484.0452,89.0777
485.0094,89.3952
485.9737,89.6995
486.9379,89.9631
487.9021,90.1556
488.8664,90.258
489.8306,90.274
490.7948,90.2323
491.7591,90.1771
492.7233,90.1506
493.6875,90.1723
494.6518,90.2281
495.6160,90.2742
496.5802,90.2565
