TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,95.1209
400.1569,95.3241
401.1211,95.2523
402.0854,95.0993
403.0496,95.0307
404.0138,95.1442
404.9781,95.4572
405.9423,95.9006
406.9065,96.3405
407.8708,96.641
408.8350,96.7401
409.7992,96.6832
410.7635,96.5888
411.7277,96.5654
412.6919,96.6368
413.6562,96.7301
414.6204,96.729
415.5846,96.543
416.5489,96.1653
417.5131,95.7161
418.4773,95.4244
419.4416,95.4741
420.4058,95.8324
421.3700,96.3064
422.3343,96.726
423.2985,97.0175
424.2627,97.1757
425.2270,97.2256
426.1912,97.2038
427.1554,97.1499
428.1197,97.0984
429.0839,97.0682
430.0481,97.0531
431.0124,97.0254
431.9766,96.9549
432.9408,96.8387
433.9051,96.7196
434.8693,96.6704
435.8335,96.7485
436.7978,96.9473
437.7620,97.1847
438.7262,97.3423
439.6905,97.3279
440.6547,97.125
441.6189,96.8087
442.5832,96.521
443.5474,96.407
444.5116,96.5396
445.4759,96.8803
446.4401,97.301
447.4043,97.6455
448.3686,97.7949
449.3328,97.7114
450.2970,97.4502
451.2613,97.133
452.2255,96.8906
453.1897,96.8074
454.1540,96.8961
455.1182,97.1055
456.0824,97.3454
457.0467,97.5175
458.0109,97.5544
458.9751,97.4538
459.9394,97.2771
460.9036,97.1113
461.8678,97.0276
462.8321,97.0608
463.7963,97.2006
464.7605,97.3905
465.7248,97.5446
466.6890,97.5872
467.6532,97.4955
468.6175,97.3152
469.5817,97.141
470.5459,97.0764
471.5102,97.1854
472.4744,97.4552
473.4386,97.7972
474.4029,98.0982
475.3671,98.2833
476.3313,98.3446
477.2956,98.3284
478.2598,98.3022
479.2240,98.3195
480.1883,98.3952
481.1525,98.501
482.1167,98.5835
483.0810,98.5982
484.0452,98.5387
485.0094,98.4432
485.9737,98.3707
486.9379,98.3645
487.9021,98.43
488.8664,98.5386
489.8306,98.6462
490.7948,98.7157
491.7591,98.7316
492.7233,98.7028
493.6875,98.6523
494.6518,98.6017
495.6160,98.5615
496.5802,98.5306
