TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,95.8636
400.1569,96.6392
401.1211,97.6445
402.0854,98.6193
403.0496,99.3952
404.0138,99.905
404.9781,100.165
405.9423,100.242
406.9065,100.212
407.8708,100.122
408.8350,99.9942
409.7992,99.8557
410.7635,99.76
411.7277,99.7642
412.6919,99.8759
413.6562,100.022
414.6204,100.072
415.5846,99.8897
416.5489,99.401
417.5131,98.6646
418.4773,97.9192
419.4416,97.4656
420.4058,97.4187
421.3700,97.6541
422.3343,97.9884
423.2985,98.3151
424.2627,98.6064
425.2270,98.8674
426.1912,99.0996
427.1554,99.292
428.1197,99.4319
429.0839,99.5162
430.0481,99.551
431.0124,99.5455
431.9766,99.5091
432.9408,99.4587
433.9051,99.4281
434.8693,99.4632
435.8335,99.5984
436.7978,99.8287
437.7620,100.1
438.7262,100.333
439.6905,100.462
440.6547,100.466
441.6189,100.384
442.5832,100.299
443.5474,100.306
444.5116,100.469
445.4759,100.788
446.4401,101.202
447.4043,101.619
448.3686,101.953
449.3328,102.15
450.2970,102.2
451.2613,102.141
452.2255,102.027
453.1897,101.909
454.1540,101.813
455.1182,101.748
456.0824,101.72
457.0467,101.752
458.0109,101.873
458.9751,102.1
459.9394,102.408
460.9036,102.746
461.8678,103.054
462.8321,103.285
463.7963,103.42
464.7605,103.464
465.7248,103.44
466.6890,103.371
467.6532,103.266
468.6175,103.117
469.5817,102.921
470.5459,102.709
471.5102,102.546
472.4744,102.51
473.4386,102.634
474.4029,102.881
475.3671,103.166
476.3313,103.411
477.2956,103.58
478.2598,103.674
479.2240,103.715
480.1883,103.72
481.1525,103.695
482.1167,103.64
483.0810,103.567
484.0452,103.498
485.0094,103.453
485.9737,103.429
486.9379,103.399
487.9021,103.337
488.8664,103.235
489.8306,103.117
490.7948,103.028
491.7591,103.014
492.7233,103.092
493.6875,103.242
494.6518,103.41
495.6160,103.534
496.5802,103.556
497.5445,103.447
498.5087,103.211
499.4729,102.895
500.4372,102.575
501.4014,102.334
502.3656,102.226
503.3299,102.247
