TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,92.6583
401.1211,93.4791
403.0496,94.2082
404.9781,94.7645
406.9065,95.1417
408.8350,95.3545
410.7635,95.4091
412.6919,95.3094
414.6204,95.0844
416.5489,94.8136
418.4773,94.6155
420.4058,94.5842
422.3343,94.7281
424.2627,94.979
426.1912,95.2508
428.1197,95.4852
430.0481,95.6608
431.9766,95.7849
433.9051,95.8805
435.8335,95.9771
437.7620,96.104
439.6905,96.2854
441.6189,96.5331
443.5474,96.8365
445.4759,97.1573
447.4043,97.4406
449.3328,97.6388
451.2613,97.7351
453.1897,97.7535
455.1182,97.7511
457.0467,97.7904
458.9751,97.9008
460.9036,98.0577
462.8321,98.2007
464.7605,98.2768
466.6890,98.2738
468.6175,98.2258
470.5459,98.192
472.4744,98.218
474.4029,98.3055
476.3313,98.4135
478.2598,98.4903
480.1883,98.5065
482.1167,98.4676
484.0452,98.4052
485.9737,98.3564
487.9021,98.3433
489.8306,98.3638
491.7591,98.3951
493.6875,98.4068
495.6160,98.3742
497.5445,98.2895
499.4729,98.1657
501.4014,98.0322
503.3299,97.9216
505.2583,97.8525
507.1868,97.8193
509.1153,97.7971
511.0437,97.7584
512.9722,97.69
514.9007,97.6005
516.8292,97.5148
518.7576,97.4593
520.6861,97.4472
522.6146,97.4728
524.5430,97.5192
526.4715,97.5691
528.4000,97.6121
530.3284,97.6447
532.2569,97.6647
534.1854,97.6677
536.1138,97.6466
538.0423,97.5962
539.9708,97.5184
541.8992,97.4249
543.8277,97.3355
545.7562,97.2719
547.6846,97.2507
549.6131,97.2774
551.5416,97.3448
553.4700,97.4354
555.3985,97.5272
557.3270,97.5999
559.2554,97.6404
561.1839,97.6445
563.1124,97.6158
565.0408,97.5623
566.9693,97.4922
568.8978,97.4114
570.8262,97.324
572.7547,97.2345
574.6832,97.1502
576.6116,97.08
578.5401,97.0314
580.4686,97.006
582.3970,96.9981
584.3255,96.997
586.2540,96.9928
588.1824,96.9806
590.1109,96.9616
592.0394,96.9406
593.9678,96.9227
