TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,93.8139
401.1211,94.0753
403.0496,94.3775
404.9781,94.6331
406.9065,94.7886
408.8350,94.8113
410.7635,94.6791
412.6919,94.3855
414.6204,93.9615
416.5489,93.4954
418.4773,93.118
420.4058,92.9344
422.3343,92.9584
424.2627,93.1191
426.1912,93.3244
428.1197,93.5095
430.0481,93.6466
431.9766,93.7325
433.9051,93.7737
435.8335,93.7799
437.7620,93.7669
439.6905,93.7631
441.6189,93.8064
443.5474,93.9245
445.4759,94.1108
447.4043,94.3194
449.3328,94.488
451.2613,94.5738
453.1897,94.5783
455.1182,94.5475
457.0467,94.5453
458.9751,94.6102
460.9036,94.7278
462.8321,94.8464
464.7605,94.9175
466.6890,94.9288
468.6175,94.9081
470.5459,94.9027
472.4744,94.9458
474.4029,95.0346
476.3313,95.1346
478.2598,95.2061
480.1883,95.2266
482.1167,95.198
484.0452,95.1397
485.9737,95.0773
487.9021,95.0308
489.8306,95.0081
491.7591,95.0024
493.6875,94.9951
495.6160,94.964
497.5445,94.8946
499.4729,94.7899
501.4014,94.6724
503.3299,94.5734
505.2583,94.5136
507.1868,94.4893
509.1153,94.4742
511.0437,94.4367
512.9722,94.36
514.9007,94.2529
516.8292,94.1438
518.7576,94.0637
520.6861,94.0275
522.6146,94.0273
524.5430,94.0409
526.4715,94.0472
528.4000,94.0381
530.3284,94.0187
532.2569,94
534.1854,93.9896
536.1138,93.9872
538.0423,93.9855
539.9708,93.9761
541.8992,93.956
543.8277,93.9303
545.7562,93.9108
547.6846,93.9107
549.6131,93.9375
551.5416,93.9889
553.4700,94.0524
555.3985,94.1103
557.3270,94.1467
559.2554,94.1534
561.1839,94.1318
563.1124,94.0891
565.0408,94.0335
566.9693,93.9703
568.8978,93.9005
570.8262,93.8235
572.7547,93.7409
574.6832,93.6578
576.6116,93.5819
578.5401,93.52
580.4686,93.4733
582.3970,93.4359
584.3255,93.3965
586.2540,93.3437
588.1824,93.2705
590.1109,93.1777
592.0394,93.0732
593.9678,92.9686
