TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,93.1904
401.1211,93.9906
403.0496,94.8842
404.9781,95.7002
406.9065,96.3312
408.8350,96.7204
410.7635,96.8399
412.6919,96.6859
414.6204,96.2956
416.5489,95.7707
418.4773,95.2687
420.4058,94.9341
422.3343,94.817
424.2627,94.8664
426.1912,94.9935
428.1197,95.1301
430.0481,95.2465
431.9766,95.3396
433.9051,95.4131
435.8335,95.4644
437.7620,95.486
439.6905,95.4756
441.6189,95.4417
443.5474,95.397
445.4759,95.3488
447.4043,95.2988
449.3328,95.2565
451.2613,95.2518
453.1897,95.3299
455.1182,95.5251
457.0467,95.8264
458.9751,96.1684
460.9036,96.4684
462.8321,96.6868
464.7605,96.8564
466.6890,97.0594
468.6175,97.3749
470.5459,97.8259
472.4744,98.3608
474.4029,98.8825
476.3313,99.3071
478.2598,99.6034
480.1883,99.7895
482.1167,99.905
484.0452,99.9865
485.9737,100.056
487.9021,100.121
489.8306,100.17
491.7591,100.182
493.6875,100.126
495.6160,99.9811
497.5445,99.7561
499.4729,99.4994
501.4014,99.2863
503.3299,99.1823
505.2583,99.2036
507.1868,99.3035
509.1153,99.3983
511.0437,99.4148
512.9722,99.3289
514.9007,99.1724
516.8292,99.0092
518.7576,98.8947
520.6861,98.8445
522.6146,98.831
524.5430,98.8077
526.4715,98.7384
528.4000,98.6147
530.3284,98.4547
532.2569,98.29
534.1854,98.1519
536.1138,98.0627
538.0423,98.0332
539.9708,98.063
541.8992,98.1435
543.8277,98.2616
545.7562,98.4058
547.6846,98.5696
549.6131,98.7529
551.5416,98.957
553.4700,99.1784
555.3985,99.4033
557.3270,99.6088
559.2554,99.7688
561.1839,99.8631
563.1124,99.8846
565.0408,99.8396
566.9693,99.7425
568.8978,99.6091
570.8262,99.4524
572.7547,99.2833
574.6832,99.1145
576.6116,98.9625
578.5401,98.8447
580.4686,98.7723
582.3970,98.7436
584.3255,98.744
586.2540,98.7528
588.1824,98.7543
590.1109,98.7444
592.0394,98.7307
593.9678,98.7253
595.8963,98.7364
