TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,92.7449
401.1211,94.2111
403.0496,95.6177
404.9781,96.7295
406.9065,97.4592
408.8350,97.8292
410.7635,97.9176
412.6919,97.8237
414.6204,97.6547
416.5489,97.5189
418.4773,97.5071
420.4058,97.6599
422.3343,97.9532
424.2627,98.3252
426.1912,98.716
428.1197,99.0857
430.0481,99.4092
431.9766,99.6662
433.9051,99.8392
435.8335,99.9237
437.7620,99.9421
439.6905,99.949
441.6189,100.015
443.5474,100.189
445.4759,100.465
447.4043,100.773
449.3328,101.018
451.2613,101.137
453.1897,101.142
455.1182,101.119
457.0467,101.185
458.9751,101.4
460.9036,101.719
462.8321,102.015
464.7605,102.172
466.6890,102.159
468.6175,102.042
470.5459,101.945
472.4744,101.971
474.4029,102.135
476.3313,102.369
478.2598,102.587
480.1883,102.738
482.1167,102.824
484.0452,102.874
485.9737,102.915
487.9021,102.951
489.8306,102.971
491.7591,102.963
493.6875,102.929
495.6160,102.882
497.5445,102.838
499.4729,102.808
501.4014,102.795
503.3299,102.793
505.2583,102.789
507.1868,102.769
509.1153,102.722
511.0437,102.65
512.9722,102.568
514.9007,102.501
516.8292,102.473
518.7576,102.493
520.6861,102.553
522.6146,102.632
524.5430,102.71
526.4715,102.774
528.4000,102.823
530.3284,102.862
532.2569,102.892
534.1854,102.912
536.1138,102.917
538.0423,102.905
539.9708,102.88
541.8992,102.855
543.8277,102.848
545.7562,102.877
547.6846,102.955
549.6131,103.086
551.5416,103.264
553.4700,103.473
555.3985,103.693
557.3270,103.908
559.2554,104.104
561.1839,104.274
563.1124,104.411
565.0408,104.51
566.9693,104.57
568.8978,104.608
570.8262,104.658
572.7547,104.765
574.6832,104.968
576.6116,105.269
578.5401,105.622
580.4686,105.934
582.3970,106.109
584.3255,106.085
586.2540,105.874
588.1824,105.551
590.1109,105.218
592.0394,104.951
593.9678,104.769
595.8963,104.636
597.8248,104.494
599.7532,104.3
601.6817,104.05
603.6102,103.774
605.5386,103.514
607.4671,103.305
609.3956,103.157
