TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,93.1478
401.1211,93.6684
403.0496,94.2192
404.9781,94.6794
406.9065,94.9782
408.8350,95.0815
410.7635,94.9811
412.6919,94.7015
414.6204,94.3158
416.5489,93.9478
418.4773,93.7311
420.4058,93.7321
422.3343,93.9104
424.2627,94.1648
426.1912,94.4108
428.1197,94.6155
430.0481,94.7882
431.9766,94.9519
433.9051,95.1177
435.8335,95.2761
437.7620,95.4092
439.6905,95.5135
441.6189,95.6119
443.5474,95.7395
445.4759,95.9153
447.4043,96.1228
449.3328,96.319
451.2613,96.4638
453.1897,96.5463
455.1182,96.593
457.0467,96.6514
458.9751,96.7554
460.9036,96.8995
462.8321,97.0441
464.7605,97.1469
466.6890,97.1911
468.6175,97.1926
470.5459,97.1868
472.4744,97.204
474.4029,97.2483
476.3313,97.2984
478.2598,97.3252
480.1883,97.3108
482.1167,97.2564
484.0452,97.1787
485.9737,97.1008
487.9021,97.0425
489.8306,97.0125
491.7591,97.0048
493.6875,97.0015
495.6160,96.9802
497.5445,96.9253
499.4729,96.8373
501.4014,96.7344
503.3299,96.643
505.2583,96.5814
507.1868,96.5477
509.1153,96.5216
511.0437,96.4787
512.9722,96.4068
514.9007,96.3145
516.8292,96.227
518.7576,96.1721
520.6861,96.1649
522.6146,96.201
524.5430,96.2604
526.4715,96.3189
528.4000,96.3582
530.3284,96.371
532.2569,96.3605
534.1854,96.3357
536.1138,96.3053
538.0423,96.2742
539.9708,96.2423
541.8992,96.2079
543.8277,96.1728
545.7562,96.1445
547.6846,96.1352
549.6131,96.1556
551.5416,96.2085
553.4700,96.285
555.3985,96.3665
557.3270,96.4319
559.2554,96.4651
561.1839,96.4599
563.1124,96.4204
565.0408,96.3572
566.9693,96.2822
568.8978,96.2039
570.8262,96.1261
572.7547,96.0499
574.6832,95.9771
576.6116,95.9121
578.5401,95.8612
580.4686,95.8291
582.3970,95.8155
584.3255,95.8143
586.2540,95.8169
588.1824,95.8164
590.1109,95.8105
592.0394,95.8011
593.9678,95.7924
