TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,104.814
401.1211,102.955
403.0496,101.407
404.9781,100.37
406.9065,99.8895
408.8350,99.8655
410.7635,100.09
412.6919,100.293
414.6204,100.231
416.5489,99.8034
418.4773,99.1359
420.4058,98.5205
422.3343,98.2084
424.2627,98.2563
426.1912,98.5509
428.1197,98.9242
430.0481,99.2422
431.9766,99.4415
433.9051,99.5296
435.8335,99.5627
437.7620,99.6057
439.6905,99.693
441.6189,99.8064
443.5474,99.8801
445.4759,99.835
447.4043,99.6257
449.3328,99.2755
451.2613,98.8766
453.1897,98.5556
455.1182,98.4155
457.0467,98.4757
458.9751,98.6516
460.9036,98.807
462.8321,98.8483
464.7605,98.7817
466.6890,98.6986
468.6175,98.7138
470.5459,98.8985
472.4744,99.239
474.4029,99.6453
476.3313,99.9996
478.2598,100.205
480.1883,100.207
482.1167,99.9997
484.0452,99.6286
485.9737,99.1881
487.9021,98.7971
489.8306,98.5509
491.7591,98.4733
493.6875,98.5038
495.6160,98.5296
497.5445,98.4474
499.4729,98.2201
501.4014,97.8982
503.3299,97.5904
505.2583,97.3996
507.1868,97.3652
509.1153,97.4491
511.0437,97.5676
512.9722,97.6404
514.9007,97.6267
516.8292,97.5342
518.7576,97.4038
520.6861,97.2825
522.6146,97.201
524.5430,97.1655
526.4715,97.1618
528.4000,97.1665
530.3284,97.1572
532.2569,97.1222
534.1854,97.064
536.1138,96.9972
538.0423,96.9409
539.9708,96.9089
541.8992,96.9045
543.8277,96.9231
545.7562,96.9593
547.6846,97.012
549.6131,97.0816
551.5416,97.1601
553.4700,97.2204
555.3985,97.2169
557.3270,97.0992
559.2554,96.836
561.1839,96.4356
563.1124,95.948
565.0408,95.4448
566.9693,94.9839
568.8978,94.5764
570.8262,94.1777
572.7547,93.7098
574.6832,93.1097
576.6116,92.3771
578.5401,91.5964
580.4686,90.9154
582.3970,90.4855
584.3255,90.3937
586.2540,90.6217
588.1824,91.0537
590.1109,91.531
592.0394,91.9237
593.9678,92.1855
595.8963,92.3626
