TITLE SAMPLE NAME:,Polyethylene Terephthalate (bottles, containers)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,96.6195
400.1569,96.5609
401.1211,96.3974
402.0854,96.2158
403.0496,96.099
404.0138,96.1029
404.9781,96.2469
405.9423,96.5097
406.9065,96.8367
407.8708,97.1619
408.8350,97.4316
409.7992,97.6139
410.7635,97.6955
411.7277,97.6749
412.6919,97.5596
413.6562,97.3631
414.6204,97.1029
415.5846,96.8027
416.5489,96.5044
417.5131,96.2817
418.4773,96.2185
419.4416,96.3347
420.4058,96.547
421.3700,96.7464
422.3343,96.8753
423.2985,96.9268
424.2627,96.9181
425.2270,96.875
426.1912,96.8254
427.1554,96.7927
428.1197,96.7878
429.0839,96.8053
430.0481,96.8261
431.0124,96.8268
431.9766,96.7934
432.9408,96.7321
433.9051,96.669
434.8693,96.6379
435.8335,96.6615
436.7978,96.7389
437.7620,96.8485
438.7262,96.9627
439.6905,97.0624
440.6547,97.1423
441.6189,97.2099
442.5832,97.2789
443.5474,97.3618
444.5116,97.461
445.4759,97.565
446.4401,97.6531
447.4043,97.7054
448.3686,97.7131
449.3328,97.6833
450.2970,97.6366
451.2613,97.5972
452.2255,97.581
453.1897,97.5907
454.1540,97.62
455.1182,97.6618
456.0824,97.7138
457.0467,97.7776
458.0109,97.8518
458.9751,97.9272
459.9394,97.9887
460.9036,98.0214
461.8678,98.0152
462.8321,97.9664
463.7963,97.8796
464.7605,97.7709
465.7248,97.6669
466.6890,97.5948
467.6532,97.5697
468.6175,97.5872
469.5817,97.6272
470.5459,97.6647
471.5102,97.683
472.4744,97.6811
473.4386,97.6706
474.4029,97.6635
475.3671,97.6627
476.3313,97.6624
477.2956,97.6537
478.2598,97.6311
479.2240,97.595
480.1883,97.5523
481.1525,97.5143
482.1167,97.4933
483.0810,97.4973
484.0452,97.5228
485.0094,97.5534
485.9737,97.5651
486.9379,97.5399
487.9021,97.4757
488.8664,97.3862
489.8306,97.2943
490.7948,97.2202
491.7591,97.1727
492.7233,97.1467
493.6875,97.1302
494.6518,97.1138
495.6160,97.0955
496.5802,97.0763
497.5445,97.0542
498.5087,97.0205
499.4729,96.9637
500.4372,96.8783
501.4014,96.7742
502.3656,96.677
503.3299,96.618
504.2941,96.6183
505.2583,96.6791
506.2226,96.7844
507.1868,96.9105
508.1510,97.0379
509.1153,97.1581
510.0795,97.2732
511.0437,97.387
512.0080,97.4973
512.9722,97.5928
513.9365,97.6595
514.9007,97.6903
515.8649,97.6922
516.8292,97.6847
517.7934,97.6885
518.7576,97.7116
519.7219,97.7445
520.6861,97.7697
521.6503,97.7758
522.6146,97.7638
523.5788,97.7445
524.5430,97.7312
525.5073,97.7318
526.4715,97.7461
527.4357,97.7683
528.4000,97.7928
529.3642,97.8175
530.3284,97.8419
531.2927,97.8657
532.2569,97.8876
533.2211,97.9077
534.1854,97.9299
535.1496,97.9595
536.1138,98.0002
537.0781,98.0489
538.0423,98.0964
539.0065,98.1317
539.9708,98.1482
540.9350,98.1466
541.8992,98.1329
542.8635,98.1139
543.8277,98.0939
544.7919,98.0751
545.7562,98.0601
546.7204,98.0535
547.6846,98.0604
548.6489,98.0831
549.6131,98.1189
550.5773,98.1615
551.5416,98.2047
552.5058,98.2449
553.4700,98.2802
554.4343,98.3075
555.3985,98.3212
556.3627,98.3158
557.3270,98.2903
558.2912,98.2514
559.2554,98.2112
560.2197,98.1817
561.1839,98.1685
562.1481,98.1701
563.1124,98.1804
564.0766,98.1939
565.0408,98.2072
566.0051,98.218
566.9693,98.2235
567.9335,98.2202
568.8978,98.2066
569.8620,98.1863
570.8262,98.1676
571.7905,98.1595
572.7547,98.1668
573.7189,98.1876
574.6832,98.2144
575.6474,98.2381
576.6116,98.2526
577.5759,98.2564
578.5401,98.2518
579.5043,98.2418
580.4686,98.2282
581.4328,98.2122
582.3970,98.1956
583.3613,98.1825
584.3255,98.177
585.2897,98.1816
586.2540,98.1936
587.2182,98.2066
588.1824,98.2124
589.1467,98.2065
590.1109,98.1912
591.0751,98.1753
592.0394,98.1693
593.0036,98.1794
593.9678,98.2031
594.9321,98.2303
595.8963,98.2498
596.8605,98.2554
597.8248,98.2486
598.7890,98.2366
599.7532,98.2282
