TITLE SAMPLE NAME:,Polyethylene Terephthalate (bottles, containers)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,85.1781
400.1569,85.8483
401.1211,86.3034
402.0854,86.5586
403.0496,86.7036
404.0138,86.8447
404.9781,87.065
405.9423,87.396
406.9065,87.8082
407.8708,88.2348
408.8350,88.6135
409.7992,88.9134
410.7635,89.1323
411.7277,89.2756
412.6919,89.3392
413.6562,89.31
414.6204,89.1784
415.5846,88.9523
416.5489,88.6745
417.5131,88.4358
418.4773,88.3495
419.4416,88.456
420.4058,88.6673
421.3700,88.8579
422.3343,88.9656
423.2985,88.9952
424.2627,88.9818
425.2270,88.9618
426.1912,88.9562
427.1554,88.9653
428.1197,88.9739
429.0839,88.9625
430.0481,88.9177
431.0124,88.8393
431.9766,88.745
432.9408,88.6688
433.9051,88.6519
434.8693,88.7269
435.8335,88.9022
436.7978,89.1573
437.7620,89.454
438.7262,89.7559
439.6905,90.0397
440.6547,90.2921
441.6189,90.5039
442.5832,90.6688
443.5474,90.7929
444.5116,90.9003
445.4759,91.0239
446.4401,91.1833
447.4043,91.3703
448.3686,91.5513
449.3328,91.6867
450.2970,91.7532
451.2613,91.7572
452.2255,91.7285
453.1897,91.7007
454.1540,91.6937
455.1182,91.7108
456.0824,91.7484
457.0467,91.8068
458.0109,91.8896
458.9751,91.9917
459.9394,92.0886
460.9036,92.142
461.8678,92.1181
462.8321,92.0035
463.7963,91.8141
464.7605,91.5942
465.7248,91.4006
466.6890,91.2761
467.6532,91.2299
468.6175,91.2383
469.5817,91.2631
470.5459,91.2729
471.5102,91.257
472.4744,91.2249
473.4386,91.1934
474.4029,91.1706
475.3671,91.1503
476.3313,91.1195
477.2956,91.067
478.2598,90.9905
479.2240,90.8975
480.1883,90.8039
481.1525,90.7293
482.1167,90.6901
483.0810,90.6912
484.0452,90.7205
485.0094,90.7513
485.9737,90.7553
486.9379,90.7173
487.9021,90.6402
488.8664,90.5377
489.8306,90.4221
490.7948,90.2969
491.7591,90.1581
492.7233,90.0033
493.6875,89.8403
494.6518,89.6861
495.6160,89.5562
496.5802,89.4542
497.5445,89.3693
498.5087,89.2849
499.4729,89.1917
500.4372,89.0978
501.4014,89.0296
502.3656,89.0204
503.3299,89.0943
504.2941,89.2568
505.2583,89.4971
506.2226,89.796
507.1868,90.1322
508.1510,90.4842
509.1153,90.8304
510.0795,91.1502
511.0437,91.4248
512.0080,91.639
512.9722,91.783
513.9365,91.8566
514.9007,91.8721
515.8649,91.8537
516.8292,91.8307
517.7934,91.8246
518.7576,91.8397
519.7219,91.8647
520.6861,91.8858
521.6503,91.8989
522.6146,91.9123
523.5788,91.9397
524.5430,91.9912
525.5073,92.0664
526.4715,92.1548
527.4357,92.2429
528.4000,92.3226
529.3642,92.3936
530.3284,92.4592
531.2927,92.5218
532.2569,92.5821
533.2211,92.6408
534.1854,92.7009
535.1496,92.7666
536.1138,92.8405
537.0781,92.9199
538.0423,92.9961
539.0065,93.0582
539.9708,93.0974
540.9350,93.1111
541.8992,93.1036
542.8635,93.0843
543.8277,93.0651
544.7919,93.0573
545.7562,93.0695
546.7204,93.104
547.6846,93.1561
548.6489,93.2145
549.6131,93.2663
550.5773,93.3027
551.5416,93.3229
552.5058,93.3327
553.4700,93.3399
554.4343,93.3477
555.3985,93.3525
556.3627,93.3472
557.3270,93.3279
558.2912,93.2986
559.2554,93.2696
560.2197,93.251
561.1839,93.2462
562.1481,93.2509
563.1124,93.2575
564.0766,93.2615
565.0408,93.2648
566.0051,93.272
566.9693,93.285
567.9335,93.2991
568.8978,93.3057
569.8620,93.2991
570.8262,93.2828
571.7905,93.2686
572.7547,93.2698
573.7189,93.2933
574.6832,93.3357
575.6474,93.3843
576.6116,93.4238
577.5759,93.4442
578.5401,93.4433
579.5043,93.4256
580.4686,93.3984
581.4328,93.3689
582.3970,93.3434
583.3613,93.3275
584.3255,93.3244
585.2897,93.3327
586.2540,93.3457
587.2182,93.3531
588.1824,93.3471
589.1467,93.3263
590.1109,93.2972
591.0751,93.2703
592.0394,93.2532
593.0036,93.2458
593.9678,93.2406
594.9321,93.2295
595.8963,93.2098
596.8605,93.1866
597.8248,93.1687
598.7890,93.1628
599.7532,93.1674
600.7175,93.1734
