TITLE SAMPLE NAME:,Polyethylene Terephthalate (bottles, containers)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,85.6376
400.1569,85.9154
401.1211,86.1316
402.0854,86.2681
403.0496,86.3452
404.0138,86.3945
404.9781,86.4333
405.9423,86.4524
406.9065,86.4255
407.8708,86.336
408.8350,86.1997
409.7992,86.0649
410.7635,85.9867
411.7277,85.9921
412.6919,86.0619
413.6562,86.1419
414.6204,86.1703
415.5846,86.0965
416.5489,85.8908
417.5131,85.56
418.4773,85.167
419.4416,84.807
420.4058,84.5293
421.3700,84.3036
422.3343,84.0701
423.2985,83.7935
424.2627,83.4789
425.2270,83.1619
426.1912,82.8831
427.1554,82.6626
428.1197,82.4906
429.0839,82.3392
430.0481,82.1813
431.0124,82.0063
431.9766,81.8248
432.9408,81.6665
433.9051,81.5738
434.8693,81.5934
435.8335,81.7625
436.7978,82.0933
437.7620,82.5655
438.7262,83.1329
439.6905,83.7419
440.6547,84.3462
441.6189,84.9152
442.5832,85.4361
443.5474,85.9101
444.5116,86.3443
445.4759,86.7413
446.4401,87.0935
447.4043,87.386
448.3686,87.6057
449.3328,87.7485
450.2970,87.8239
451.2613,87.8526
452.2255,87.8597
453.1897,87.8672
454.1540,87.889
455.1182,87.929
456.0824,87.981
457.0467,88.0289
458.0109,88.0516
458.9751,88.0346
459.9394,87.9815
460.9036,87.9121
461.8678,87.8524
462.8321,87.8235
463.7963,87.8344
464.7605,87.879
465.7248,87.9381
466.6890,87.9868
467.6532,88.0061
468.6175,87.9888
469.5817,87.9397
470.5459,87.8699
471.5102,87.7917
472.4744,87.7147
473.4386,87.6434
474.4029,87.5784
475.3671,87.5172
476.3313,87.4565
477.2956,87.3938
478.2598,87.3283
479.2240,87.2611
480.1883,87.194
481.1525,87.1271
482.1167,87.0576
483.0810,86.981
484.0452,86.8938
485.0094,86.7962
485.9737,86.6902
486.9379,86.5748
487.9021,86.4422
488.8664,86.2791
489.8306,86.0731
490.7948,85.8206
491.7591,85.5296
492.7233,85.2156
493.6875,84.8932
494.6518,84.5704
495.6160,84.2504
496.5802,83.9372
497.5445,83.6397
498.5087,83.3689
499.4729,83.1334
500.4372,82.9377
501.4014,82.7857
502.3656,82.6893
503.3299,82.6739
504.2941,82.7747
505.2583,83.0242
506.2226,83.4355
507.1868,83.991
508.1510,84.6417
509.1153,85.3188
510.0795,85.955
511.0437,86.5026
512.0080,86.9389
512.9722,87.2606
513.9365,87.4751
514.9007,87.5948
515.8649,87.6375
516.8292,87.6272
517.7934,87.5928
518.7576,87.5612
519.7219,87.5495
520.6861,87.5623
521.6503,87.5952
522.6146,87.6423
523.5788,87.7004
524.5430,87.77
525.5073,87.8531
526.4715,87.9504
527.4357,88.06
528.4000,88.1782
529.3642,88.3011
530.3284,88.4253
531.2927,88.5471
532.2569,88.662
533.2211,88.7664
534.1854,88.8593
535.1496,88.9437
536.1138,89.0248
537.0781,89.1061
538.0423,89.1861
539.0065,89.259
539.9708,89.3182
540.9350,89.3619
541.8992,89.3942
542.8635,89.4232
543.8277,89.455
544.7919,89.4899
545.7562,89.5234
546.7204,89.5506
547.6846,89.5719
548.6489,89.5947
549.6131,89.6293
550.5773,89.6825
551.5416,89.7517
552.5058,89.8253
553.4700,89.8877
554.4343,89.9265
555.3985,89.9387
556.3627,89.932
557.3270,89.9199
558.2912,89.9145
559.2554,89.9202
560.2197,89.9317
561.1839,89.9382
562.1481,89.9299
563.1124,89.9038
564.0766,89.8651
565.0408,89.8245
566.0051,89.7923
566.9693,89.7735
567.9335,89.7656
568.8978,89.7613
569.8620,89.753
570.8262,89.7384
571.7905,89.722
572.7547,89.7121
573.7189,89.716
574.6832,89.7357
575.6474,89.7664
576.6116,89.7996
577.5759,89.8279
578.5401,89.8484
579.5043,89.8621
580.4686,89.8705
581.4328,89.8734
582.3970,89.869
583.3613,89.8577
584.3255,89.8435
585.2897,89.8326
586.2540,89.8287
587.2182,89.829
588.1824,89.8251
589.1467,89.8081
590.1109,89.7751
591.0751,89.7318
592.0394,89.6895
593.0036,89.6579
593.9678,89.6394
594.9321,89.6286
595.8963,89.6174
596.8605,89.6
597.8248,89.5746
598.7890,89.5427
599.7532,89.5056
600.7175,89.4632
