399.848485984,94.249712010
405.560607213,102.263580398
411.272728441,92.224082593
416.984849669,96.647261117
422.696970898,98.892730344
428.409092126,94.041388785
434.121213355,96.692817114
439.833334583,96.274980284
445.545455811,95.427181764
451.257577040,97.169263198
456.969698268,94.805627925
462.681819496,95.816797839
468.393940725,97.591833203
474.106061953,95.248325211
479.818183181,96.852667633
485.530304410,97.225230038
491.242425638,95.694154870
496.954546866,96.518812003
502.666668095,94.925847065
508.378789323,93.615054489
514.090910551,93.521973403
519.803031780,91.134742940
525.515153008,88.909450425
531.227274236,83.769572479
536.939395465,77.770240851
542.651516693,79.438273253
548.363637921,83.762705397
554.075759150,85.652517824
559.787880378,88.196010436
565.500001607,89.341363840
571.212122835,90.664794098
576.924244063,93.017248575
582.636365292,93.485969940
588.348486520,94.442374572
594.060607748,94.941929000
599.772728977,94.455213020
605.484850205,95.325044730
611.196971433,94.734948660
616.909092662,93.899539383
622.621213890,94.530561403
628.333335118,93.938216056
634.045456347,94.761912713
639.757577575,95.595561890
645.469698803,94.264332578
651.181820032,95.030882421
656.893941260,93.879578243
662.606062488,91.662326660
668.318183717,92.675198904
674.030304945,88.494029908
679.742426174,86.783031601
685.454547402,82.493844647
691.166668630,49.736663420
696.878789859,28.267708137
702.590911087,54.759806424
708.303032315,87.499366472
714.015153544,93.816314386
719.727274772,95.218734620
725.439396000,96.115349123
731.151517229,92.328208921
736.863638457,87.994603936
742.575759685,79.504851674
748.287880914,72.067255992
754.000002142,71.635614432
759.712123370,73.844803003
765.424244599,79.695280138
771.136365827,86.881603214
776.848487055,90.977946425
782.560608284,94.235222432
788.272729512,95.659551602
793.984850740,95.918169777
799.696971969,97.211380391
805.409093197,96.977188898
811.121214426,96.821293889
816.833335654,97.432143478
822.545456882,96.769835035
828.257578111,96.870062342
833.969699339,96.442743605
839.681820567,94.937823539
845.393941796,95.648017542
851.106063024,96.494159369
856.818184252,96.502108715
862.530305481,97.062478771
868.242426709,96.702881669
873.954547937,96.542877200
879.666669166,96.847691264
885.378790394,96.180016824
891.090911622,96.155069636
896.803032851,95.201826203
902.515154079,92.346050086
908.227275307,92.147066488
913.939396536,94.342311797
919.651517764,95.703517734
925.363638993,96.082525876
931.075760221,95.861537750
936.787881449,95.499888387
942.500002678,95.136026842
948.212123906,95.183453080
953.924245134,95.484760149
959.636366363,94.638680439
965.348487591,94.171747500
971.060608819,94.938212548
976.772730048,94.640750453
982.484851276,94.474942062
988.196972504,95.307853148
993.909093733,95.196961374
999.621214961,94.693859128
1005.333336189,94.194297946
1011.045457418,93.962281787
1016.757578646,93.798195696
1022.469699874,90.805776485
1028.181821103,88.578285158
1033.893942331,92.071887192
1039.606063559,95.463696598
1045.318184788,95.199575739
1051.030306016,94.935115573
1056.742427245,94.628779233
1062.454548473,93.363262650
1068.166669701,92.595408265
1073.878790930,93.116625277
1079.590912158,94.470405635
1085.303033386,95.055201751
1091.015154615,95.239519775
1096.727275843,95.676193369
1102.439397071,95.568076532
1108.151518300,95.586864469
1113.863639528,95.717369356
1119.575760756,95.803317988
1125.287881985,96.355657591
1131.000003213,96.224135264
1136.712124441,95.995539159
1142.424245670,96.146683583
1148.136366898,94.924412034
1153.848488126,93.854987141
1159.560609355,94.596969066
1165.272730583,95.472394725
1170.984851812,95.365576988
1176.696973040,94.262122760
1182.409094268,93.678513382
1188.121215497,94.490434142
1193.833336725,94.795993563
1199.545457953,94.746174017
1205.257579182,95.292087232
1210.969700410,95.460460227
1216.681821638,95.536572906
1222.393942867,95.668281669
1228.106064095,95.449524623
1233.818185323,95.527802083
1239.530306552,95.453658928
1245.242427780,95.180611184
1250.954549008,95.326161132
1256.666670237,95.211334974
1262.378791465,94.979930530
1268.090912693,94.761146455
1273.803033922,94.319589854
1279.515155150,94.418375615
1285.227276378,94.488305990
1290.939397607,94.189640501
1296.651518835,94.280386495
1302.363640064,93.973626729
1308.075761292,93.478128882
1313.787882520,93.586062176
1319.500003749,93.529298911
1325.212124977,93.468866850
1330.924246205,93.588220159
1336.636367434,93.664208325
1342.348488662,93.798105106
1348.060609890,93.462936947
1353.772731119,93.248146138
1359.484852347,93.270407476
1365.196973575,92.610830427
1370.909094804,92.544425910
1376.621216032,93.048143825
1382.333337260,93.344142583
1388.045458489,94.526010848
1393.757579717,95.163366536
1399.469700945,94.900651960
1405.181822174,95.500577057
1410.893943402,95.192276010
1416.606064631,94.715959994
1422.318185859,95.259496279
1428.030307087,93.936710622
1433.742428316,92.374353207
1439.454549544,89.780299794
1445.166670772,83.272608715
1450.878792001,76.447352457
1456.590913229,82.823078836
1462.303034457,96.094814620
1468.015155686,94.939141746
1473.727276914,92.677678136
1479.439398142,95.869241396
1485.151519371,90.283785875
1490.863640599,76.982915401
1496.575761827,84.361476074
1502.287883056,95.547630648
1508.000004284,96.485375945
1513.712125512,94.512940397
1519.424246741,96.462965434
1525.136367969,95.514388504
1530.848489197,95.076120032
1536.560610426,95.755096930
1542.272731654,94.452634605
1547.984852883,95.053827728
1553.696974111,95.775092868
1559.409095339,95.107813660
1565.121216568,95.329224826
1570.833337796,95.723218357
1576.545459024,94.231196843
1582.257580253,93.121504204
1587.969701481,93.747967379
1593.681822709,92.516313033
1599.393943938,88.498206119
1605.106065166,89.689505739
1610.818186394,95.120491892
1616.530307623,95.688274182
1622.242428851,94.962476021
1627.954550079,96.102742147
1633.666671308,95.339381318
1639.378792536,95.372100418
1645.090913764,95.879871393
1650.803034993,94.899239182
1656.515156221,95.485479571
1662.227277450,95.462279318
1667.939398678,95.031688016
1673.651519906,95.599554845
1679.363641135,95.306389418
1685.075762363,95.324229330
1690.787883591,95.892870949
1696.500004820,95.450309991
1702.212126048,95.477139696
1707.924247276,95.663694738
1713.636368505,95.166480236
1719.348489733,95.096777365
1725.060610961,95.102265233
1730.772732190,94.983276087
1736.484853418,95.176560266
1742.196974646,94.789586741
1747.909095875,94.761266566
1753.621217103,95.236180599
1759.333338331,95.244906535
1765.045459560,95.562989929
