TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,83.0473
401.1211,83.6747
403.0496,84.4293
404.9781,85.1795
406.9065,85.8218
408.8350,86.2791
410.7635,86.493
412.6919,86.4351
414.6204,86.1414
416.5489,85.7444
418.4773,85.4482
420.4058,85.4249
422.3343,85.7069
424.2627,86.1864
426.1912,86.7064
428.1197,87.1489
430.0481,87.469
431.9766,87.6863
433.9051,87.8525
435.8335,88.0136
437.7620,88.188
439.6905,88.3729
441.6189,88.5655
443.5474,88.7732
445.4759,88.9994
447.4043,89.2238
449.3328,89.4025
451.2613,89.4934
453.1897,89.4911
455.1182,89.4425
457.0467,89.4283
458.9751,89.5106
460.9036,89.686
462.8321,89.8868
464.7605,90.0297
466.6890,90.0716
468.6175,90.0336
470.5459,89.9852
472.4744,89.998
474.4029,90.0989
476.3313,90.2568
478.2598,90.4094
480.1883,90.5029
482.1167,90.5172
484.0452,90.4681
485.9737,90.3926
487.9021,90.3256
489.8306,90.281
491.7591,90.2437
493.6875,90.1771
495.6160,90.0415
497.5445,89.8165
499.4729,89.5149
501.4014,89.1794
503.3299,88.8591
505.2583,88.5779
507.1868,88.3153
509.1153,88.0152
511.0437,87.616
512.9722,87.0831
514.9007,86.4256
516.8292,85.6906
518.7576,84.9386
520.6861,84.2168
522.6146,83.5452
524.5430,82.9217
526.4715,82.3353
528.4000,81.778
530.3284,81.2479
532.2569,80.7471
534.1854,80.2807
536.1138,79.8584
538.0423,79.4971
539.9708,79.2205
541.8992,79.0553
543.8277,79.0255
545.7562,79.1463
547.6846,79.4192
549.6131,79.8288
551.5416,80.3424
553.4700,80.9127
555.3985,81.4873
557.3270,82.0213
559.2554,82.49
561.1839,82.8942
563.1124,83.2565
565.0408,83.6083
566.9693,83.9764
568.8978,84.3731
570.8262,84.7973
572.7547,85.2414
574.6832,85.7003
576.6116,86.1744
578.5401,86.6649
580.4686,87.1649
582.3970,87.654
584.3255,88.1015
586.2540,88.4784
588.1824,88.7718
590.1109,88.991
592.0394,89.1634
593.9678,89.3203
