TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,80.9631
401.1211,81.462
403.0496,82.0445
404.9781,82.5636
406.9065,82.9276
408.8350,83.0899
410.7635,83.0277
412.6919,82.7381
414.6204,82.2572
416.5489,81.6837
418.4773,81.1683
420.4058,80.8454
422.3343,80.7581
424.2627,80.8534
426.1912,81.0429
428.1197,81.2621
430.0481,81.4901
431.9766,81.7359
433.9051,82.0134
435.8335,82.323
437.7620,82.6551
439.6905,83.0073
441.6189,83.3929
443.5474,83.8236
445.4759,84.2792
447.4043,84.6967
449.3328,84.997
451.2613,85.1323
453.1897,85.1236
455.1182,85.0619
457.0467,85.0645
458.9751,85.2027
460.9036,85.4513
462.8321,85.7086
464.7605,85.8693
466.6890,85.8915
468.6175,85.8184
470.5459,85.7485
472.4744,85.7739
474.4029,85.9239
476.3313,86.1552
478.2598,86.3896
480.1883,86.5643
482.1167,86.6583
484.0452,86.6895
485.9737,86.6923
487.9021,86.6925
489.8306,86.6923
491.7591,86.669
493.6875,86.5878
495.6160,86.4185
497.5445,86.1518
499.4729,85.8069
501.4014,85.4262
503.3299,85.0557
505.2583,84.7189
507.1868,84.401
509.1153,84.0545
511.0437,83.6219
512.9722,83.0633
514.9007,82.3739
516.8292,81.585
518.7576,80.7487
520.6861,79.9166
522.6146,79.1243
524.5430,78.3883
526.4715,77.7126
528.4000,77.0956
530.3284,76.5335
532.2569,76.0222
534.1854,75.5588
536.1138,75.1453
538.0423,74.7917
539.9708,74.5157
541.8992,74.3395
543.8277,74.285
545.7562,74.3685
547.6846,74.5957
549.6131,74.9578
551.5416,75.4279
553.4700,75.9633
555.3985,76.5127
557.3270,77.0306
559.2554,77.4905
561.1839,77.892
563.1124,78.2563
565.0408,78.6128
566.9693,78.9848
568.8978,79.3811
570.8262,79.797
572.7547,80.2234
574.6832,80.6554
576.6116,81.0956
578.5401,81.5481
580.4686,82.0093
582.3970,82.4613
584.3255,82.8748
586.2540,83.2208
588.1824,83.4839
590.1109,83.6706
592.0394,83.8053
593.9678,83.9192
